experiment,delta_gross_alpha_vs_R01,delta_transaction_cost_vs_R01,delta_borrow_vs_R01,delta_turnover_vs_R01,delta_drawdown_vs_R01,delta_gross_exposure_vs_R01
R00,0.0020823112154189083,-3.563908857959208e-08,-0.000990545894908365,3.552713678800501e-15,-0.0003740824855289482,-0.03321434174828741
R01,0.0,0.0,0.0,0.0,0.0,0.0
R02,0.0027193739238762227,0.007373521015479081,0.002232182753623038,10.541833090996004,-0.009032335475863795,0.07461135733239327
R03,-0.00792309287429005,-0.005880435437046482,-0.0007839180644193793,-8.408366870199192,-0.020010177288289466,-0.024975194615423413
R04,-0.0008822354227788765,3.0215908707921513e-06,-0.0004368819191738378,3.552713678800501e-15,-0.0011352362070004007,-0.014670943364300026
R06,1.4822143333370619e-05,-2.6278448340966154e-10,-1.6686587834876393e-06,0.0,1.9673559070287894e-05,-3.749558391674679e-05
R07,-0.0003845806100970517,-3.4839327831930056e-06,-0.0005941703115058816,0.0,-0.0003004122080704219,-0.019427683724493994
R08,-0.0008753734316289119,3.021500296384802e-06,-0.00043785910962366656,3.552713678800501e-15,-0.0011267078857070123,-0.014693099679539356
