horizon,segment,long_rank_ic,short_rank_ic
1,train,0.00162251876642901,0.013900992717135593
1,development,0.028199909449275445,0.005878118328053111
2,train,0.001796599598248897,0.010585357753633786
2,development,0.019899304519386873,0.0003036002402944158
3,train,0.0031002081514353227,0.009178961769889117
3,development,0.01872364803635082,-0.0033331923689138986
5,train,0.004984702597264883,0.008874590943252816
5,development,0.01487307064598721,-0.007275319903471567
10,train,0.004645588597980714,0.005840853826944987
10,development,0.007703155564308651,-0.01933579546071372
21,train,0.007888641708602661,-0.0014720264962637146
21,development,0.006186308679630541,-0.013877322059694218
