experiment,status,reason,eligible,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_daily_net,train_average_abs_daily_beta,train_maximum_rebalance_net,train_maximum_rebalance_beta,train_maximum_rebalance_sector,train_worst_calendar_year_return,development_sessions,development_total_return,development_cagr,development_annual_volatility,development_sharpe,development_max_drawdown,development_positive_day_rate,development_status,development_gross_sharpe,development_gross_cagr,development_total_transaction_cost,development_total_borrow_cost,development_annual_turnover,development_average_gross,development_average_abs_daily_net,development_average_abs_daily_beta,development_maximum_rebalance_net,development_maximum_rebalance_beta,development_maximum_rebalance_sector,development_worst_calendar_year_return,robust_sharpe,worst_development_year,train_reason,development_reason
R00,REFERENCE_ONLY,OK,False,1259.0,-0.028192422125761896,-0.005707683664652241,0.017577369968526588,-0.31687729783083657,-0.05960637937210744,0.4416203335980937,COMPLETED,0.3606572095017024,0.006205833566665042,0.035044359908226894,0.0244621924355879,19.96584670808575,0.326142849094383,0.0005968188553715006,0.0020165592743908735,2.4077961846558082e-15,2.7929047963226594e-15,5.030698080332741e-16,-0.02359105325216282,502.0,-0.01617918332418844,-0.008154808381461986,0.012175887281740657,-0.66640873372153,-0.02049643774069443,0.4960159362549801,COMPLETED,0.36937784607265256,0.004421342232742598,0.014657415348034844,0.010441261354122933,20.958168169003955,0.34585328263550325,0.00045784978291210144,0.0019365109411599594,1.8231943732516243e-15,1.9914625504213745e-15,4.193694003173931e-16,-0.011100883647636395,-0.66640873372153,-0.02359105325216282,,
R02,COMPLETED,OK,False,1259.0,-0.04493022083947962,-0.00915927350845902,0.02184438862305119,-0.4103161408023926,-0.08505388222477595,0.4471803018268467,COMPLETED,0.3616966492624407,0.0076856143253749565,0.05252491175983645,0.03169430648387545,29.92375020409845,0.42180944679005583,0.0004170805692073714,0.002254800824797544,2.47198095326695e-15,2.6940255581919814e-15,5.054550528127422e-16,-0.03433721716478633,502.0,-0.02531582088408768,-0.012789479419732852,0.01603838277371297,-0.7945471436177858,-0.029154690731029276,0.4960159362549801,COMPLETED,0.3211245128609609,0.005058404941199912,0.022030972002602504,0.013663990002654336,31.500001259999955,0.4536789817161839,0.00036353255241167555,0.002524215405575993,1.9637069748057456e-15,1.908195823574488e-15,4.883246584874712e-16,-0.024918538030801796,-0.7945471436177858,-0.03433721716478633,,
R06,COMPLETED,OK,False,1259.0,-0.0465749119453891,-0.009501038206037982,0.016599523322678087,-0.5668047137306128,-0.05606774609595566,0.4614773629864972,COMPLETED,0.1677309335961149,0.0026499081368416277,0.035045003238221295,0.025869915956274893,19.965846708085753,0.34484137621362315,0.0005803440748834226,0.0024617037544127176,2.6124935548210715e-15,3.0635216585750413e-15,5.868244258577793e-16,-0.02204943904790435,502.0,-0.021177574872080607,-0.010687634940860558,0.012947919023837897,-0.8233959520987282,-0.020102681696095193,0.4900398406374502,COMPLETED,0.18831560626500482,0.00235385316065706,0.01465745072433894,0.01143013859024781,20.95816816900395,0.3790301287998739,0.0004770535558262534,0.0026106365502874063,2.007075061705166e-15,2.222614453595284e-15,4.720616259001886e-16,-0.010930312208593973,-0.8233959520987282,-0.02204943904790435,,
R01,COMPLETED,OK,False,1259.0,-0.03872026335323164,-0.00787308150921795,0.019165146698961834,-0.4028621806899779,-0.06542288540714136,0.45750595710881653,COMPLETED,0.2426749839294065,0.0044793902545989805,0.03504475923153695,0.026774512789524932,19.96584670808575,0.3567252691409589,0.000638944564278103,0.002568065919722039,2.6124935548210715e-15,3.0461744238152733e-15,5.843849709696869e-16,-0.02299125841069183,502.0,-0.02120804338907556,-0.0107030939278836,0.012950185806577466,-0.824456144127648,-0.02012235525516548,0.4900398406374502,COMPLETED,0.1871412246516225,0.0023390310173236895,0.014657450987123424,0.011431807249031298,20.95816816900395,0.37906762438379066,0.00047703269420681726,0.0026108478536490468,2.0127129130020904e-15,2.2412627309620348e-15,4.696763811207205e-16,-0.010930312208593529,-0.824456144127648,-0.02299125841069183,,
R08,COMPLETED,OK,False,1259.0,-0.050147320596901857,-0.010245007733181932,0.01706324230612472,-0.5949781351055187,-0.06035320693744861,0.45909451945988883,COMPLETED,0.11023045445579653,0.0017371660039258163,0.0350534884736034,0.02506536702101411,19.965846708085753,0.3341522128977656,0.0005910121474912211,0.002529495585355437,2.6749435999562365e-15,3.1433189384699745e-15,5.806444734746119e-16,-0.023502459392159447,502.0,-0.022485234535929655,-0.011351325471883555,0.013051764240808244,-0.8681563659630606,-0.021249063140872493,0.49203187250996017,COMPLETED,0.11873411140284304,0.0014636575856947776,0.014660472487419808,0.010993948139407631,20.958168169003955,0.3643745247042513,0.00048445828983743205,0.0026690398481354137,2.239528007486058e-15,2.4229750150706053e-15,5.366800753803247e-16,-0.011501677670382238,-0.8681563659630606,-0.023502459392159447,,
R04,COMPLETED,OK,False,1259.0,-0.04244927488762107,-0.008644625664369188,0.01941016861384758,-0.4376127181328216,-0.06508096377549921,0.45432883240667193,COMPLETED,0.18965816511607986,0.00350123494805632,0.03505323829578002,0.025785380724394687,19.965846708085753,0.3435820050738849,0.0006439132107234356,0.002628682780979147,2.661065812148422e-15,3.1329105976141136e-15,5.822707767333402e-16,-0.024324728910829818,502.0,-0.02249953308277952,-0.011358585009675237,0.01305300055585466,-0.8686354250740663,-0.02125759146216588,0.49203187250996017,COMPLETED,0.11819831373041337,0.001456795594544813,0.014660472577994216,0.01099492532985746,20.958168169003955,0.36439668101949063,0.00048445121843551566,0.0026691138959346957,2.2664162213636985e-15,2.44205697330635e-15,5.408000436357696e-16,-0.011516136878643835,-0.8686354250740663,-0.024324728910829818,,
R07,COMPLETED,OK,False,1259.0,-0.0422615011832963,-0.008605717288362458,0.016695883898051194,-0.509332442618514,-0.0617138357919681,0.44797458300238285,COMPLETED,0.21481017218650636,0.003454309773333941,0.03503411514464846,0.025374232906944294,19.96584670808575,0.33808419672433804,0.0005526802672534508,0.002170981761089044,2.5517782331618832e-15,2.9108659926890823e-15,5.460042140637e-16,-0.02134035255862876,502.0,-0.021371170409265394,-0.01078586470064613,0.011498494152805643,-0.9373608463722273,-0.020422767463235902,0.4760956175298805,COMPLETED,0.1757782591614913,0.0019544504072266378,0.01465396705434023,0.010837636937525416,20.95816816900395,0.35963994065929666,0.000422324302112721,0.002214726698260405,2.323662096070933e-15,2.494966039323643e-15,4.382345181186409e-16,-0.011851265325415139,-0.9373608463722273,-0.02134035255862876,,
R03,COMPLETED,OK,False,1259.0,0.018825852547350364,0.0037401074713316884,0.0156735432517259,0.24599888894379135,-0.04318967669272644,0.4837172359015091,COMPLETED,0.8178907081387916,0.012788458353929943,0.020991061093027175,0.02384705216419742,11.959492138427304,0.31822320088574196,0.0007812322931088576,0.0025488174961057733,1.5360976379774627e-15,1.7004626873262652e-15,3.174543961037557e-16,-0.011517070905158966,502.0,-0.0301173688265588,-0.015233797210681077,0.011933883572034277,-1.2803435121386357,-0.040132532543454946,0.48406374501992033,COMPLETED,-0.46245559109272466,-0.00558406185696636,0.008777015550076941,0.010647889184611918,12.54980129880476,0.35409242976836725,0.0007148459329022834,0.0028374338600012407,2.0712598303163077e-15,2.2950391587173158e-15,4.318919354096007e-16,-0.025219323938851845,-1.2803435121386357,-0.025219323938851845,,
R05,INVALID,ELIGIBILITY_OR_NEUTRALITY_CORRECTION_INFEASIBLE,False,,,,,,,,INVALID,,,,,,,,,,,,,,,,,,,,INVALID,,,,,,,,,,,,,,,ELIGIBILITY_OR_NEUTRALITY_CORRECTION_INFEASIBLE,ELIGIBILITY_OR_NEUTRALITY_CORRECTION_INFEASIBLE
