year,max_abs_net,max_abs_beta,max_abs_sector,mean_eligible_names
2018,2.2898349882893854e-15,2.467644144577008e-15,4.701100619897147e-16,186.58333333333334
2019,1.1761425167122752e-15,1.259409243559162e-15,2.3809079707781677e-16,249.8452380952381
2020,8.482797797526587e-16,9.71445146547012e-16,1.5764299587939234e-16,250.0
2021,2.6124935548210715e-15,3.0461744238152733e-15,5.843849709696869e-16,250.0
2022,1.1032841307212493e-15,1.1900203045200897e-15,2.5847379792054426e-16,250.0
2023,2.0127129130020904e-15,2.2412627309620348e-15,4.187188790139018e-16,250.0
2024,1.908195823574488e-15,1.8596235662471372e-15,4.696763811207205e-16,250.0
