session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover,long_pnl,short_pnl,cost_drag,segment
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
2018-04-05,0.00023777496165661952,8.778526269756894e-05,1.0273973013698606e-05,0.00013971572594535198,0.25000000999999955,9.324138683375338e-17,0.25000000999999955,0.0010182310688598053,-0.0007804561072031858,9.805923571126754e-05,train
2018-04-06,-0.000400754891298548,0.0,1.0336675894826468e-05,-0.0004110915671933745,0.25176352185284034,0.00023774174539616805,0.0,-0.003028896334973572,0.002628141443675024,1.0336675894826468e-05,train
2018-04-09,0.0002620283080958184,0.0,3.0374479500337278e-05,0.00023165382859548114,0.24620769798261044,-0.0001630801867919503,0.0,0.00022286771810675553,3.9160589989062946e-05,3.0374479500337278e-05,train
2018-04-10,0.00019939310304255755,8.779104258660911e-05,1.2869589488635793e-05,9.873247096731265e-05,0.31316001089013773,5.0306980803327406e-17,0.25000000999999983,0.0027423263811932374,-0.0025429332781506807,0.0001006606320752449,train
2018-04-11,0.00020477548980427898,0.0,1.3077306548489184e-05,0.0001916981832557898,0.3184138327649826,0.00019937341841236474,0.0,-0.0006543883099066538,0.0008591637997109328,1.3077306548489184e-05,train
2018-04-12,0.00037630628583872744,0.0,1.300419746474453e-05,0.0003633020883739829,0.31683954309057094,0.0004040714484540662,0.0,0.0013680382517534874,-0.0009917319659147603,1.300419746474453e-05,train
2018-04-13,-9.957219388894529e-05,8.781632726066984e-05,1.386123778541714e-05,-0.00020124975893503227,0.3372901194451505,1.1796119636642288e-16,0.2500000099999993,-0.0004823003884336706,0.0003827281945447254,0.00010167756504608698,train
2018-04-16,-0.0005146902990943063,0.0,4.149769342140767e-05,-0.000556187992515714,0.3364928099590597,-9.959223680248118e-05,0.0,0.001331334686912276,-0.001846024986006583,4.149769342140767e-05,train
2018-04-17,0.0002455727192901617,0.0,1.3992074778826558e-05,0.00023158064451133517,0.3398591952355146,-0.0006146243825982979,0.0,0.001765217393484987,-0.0015196446741948247,1.3992074778826558e-05,train
2018-04-18,0.000856344071970545,8.779703184661843e-05,1.4811338052946106e-05,0.0007537357020709804,0.3604092259550214,-4.753142324176451e-16,0.2500000099999997,0.0008498777872016097,6.466284768934853e-06,0.00010260836989956453,train
2018-04-19,-0.00014052015311626282,0.0,1.4799651551732892e-05,-0.0001553198046679957,0.36098055352650776,0.0008556991010074087,0.0,-0.001480379105115274,0.001339858951999011,1.4799651551732892e-05,train
2018-04-20,-7.941804755728354e-05,0.0,1.4691808087180223e-05,-9.410985564446376e-05,0.3582159535013203,0.0007152900466014661,0.0,-0.0012950230828532182,0.0012156050352959346,1.4691808087180223e-05,train
2018-04-23,-0.0006199621403450773,8.781672400106369e-05,4.520265611836195e-05,-0.0007529815204645029,0.3666437662933801,-1.5612511283791264e-16,0.2500000099999993,-0.0005401774270000158,-7.978471334506168e-05,0.00013301938011942564,train
2018-04-24,0.00032079709206177823,0.0,1.5085468766334772e-05,0.00030571162329544343,0.36645931066866083,-0.0006204293121520321,0.0,-0.0018334984544250011,0.002154295546486779,1.5085468766334772e-05,train
2018-04-25,0.00039725135332368915,0.0,1.4903847099662113e-05,0.00038234750622402706,0.3623607387780786,-0.0002995406470328067,0.0,0.0003326188708383565,6.463248248533263e-05,1.4903847099662113e-05,train
2018-04-26,-1.4577991017474565e-06,8.780359407335873e-05,1.4676395631459503e-05,-0.00010393778880656568,0.3571256270321815,1.9081958235744878e-16,0.2500000099999997,0.0016673639931182548,-0.0016688217922200027,0.00010247998970481823,train
2018-04-27,0.00011594934917773269,0.0,1.481509891505867e-05,0.00010113425026267403,0.36049928231579,-1.4579506377315754e-06,0.0,0.0005531693464658043,-0.00043721999728807154,1.481509891505867e-05,train
2018-04-30,0.0006866941739765591,0.0,4.454859902657739e-05,0.0006421455749499817,0.36145311636961475,0.00011447982070918183,0.0,-0.0013334235637712467,0.002020117737747805,4.454859902657739e-05,train
