session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2015-07-07,0.004604476558998452,2.746847282465885e-06,1.2328767123187023e-05,0.004589400944592799,0.9999999999977967,0.10000000000514403,0.01346764027932984
2015-07-08,-0.0018187854804843212,0.0,1.2170463708012164e-05,-0.0018309559441923335,0.992570448542466,0.10412659785757769,0.0
2015-07-09,-0.003221241608897702,0.0,1.210509191032732e-05,-0.003233346700808029,0.9861671865340007,0.10249547708010608,0.0
2015-07-10,-0.0007441694278672918,0.0,1.2250911449844531e-05,-0.0007564203393171363,0.9939128005638209,0.09959626472517022,0.0
2015-07-13,-0.00021456941914581545,0.0,3.710995245742595e-05,-0.0002516793716032414,1.0019357687666581,0.09892692563596012,0.0
2015-07-14,0.0030053843193739178,5.623381177537003e-06,1.2328767123673447e-05,0.002987432171072707,1.000000000021275,0.09999999999311354,0.027867321813739437
2015-07-15,-0.0011373227550491912,0.0,1.2256769605282805e-05,-0.001149579524654474,0.9974427604584889,0.1026985792728443,0.0
2015-07-16,0.007416266070386927,0.0,1.2299130408111466e-05,0.007403966939978815,0.9995146634219538,0.10167814362981682,0.0
2015-07-17,0.0025053853290429966,0.0,1.2104135019597326e-05,0.0024932811940233993,0.9918944711912766,0.10829261476067183,0.0
2015-07-20,0.007161333523792421,0.0,3.616540578556836e-05,0.007125168118006852,0.9905473106925763,0.1105224365770796,0.0
2015-07-21,-0.004083090525629254,5.107610814595798e-05,1.2216930326998664e-05,-0.00414638356410221,0.9999999999819832,0.10816408611108075,0.24974468875505595
2015-07-22,0.001461116195841823,0.0,1.2345832969969638e-05,0.0014487703628718533,1.005760158985317,0.10451435217753313,0.0
2015-07-23,0.002988187298712611,0.0,1.2250318335961713e-05,0.002975936980376649,1.000095394894697,0.10582215636949169,0.0
2015-07-24,0.0004880850595330162,0.0,1.2054347418863306e-05,0.00047603071211415286,0.9884548533066789,0.10848749172965777,0.0
2015-07-27,0.0020727236558383912,0.0,3.569477745415085e-05,0.0020370288783842405,0.9774966438014596,0.10892372575045557,0.0
2015-07-28,-0.00020549815496241478,5.52786706111418e-05,1.2467636391729224e-05,-0.0002732444619652858,1.000000000007789,0.08986254341155579,0.25000000000736544
2015-07-29,-0.00037435474107529323,0.0,1.258334522270591e-05,-0.00038693808629799916,1.0082657515010696,0.08968155024353797,0.0
2015-07-30,0.002865757113840174,0.0,1.2646007310025354e-05,0.0028531111065301486,1.0125002988659797,0.0893417652341287,0.0
