floor,daily_mean,daily_mean_bps
SPY mean,0.00022906873338345254,2.2906873338345255
zero,0.0,0.0
equal-weight mean,-0.0001460863474883502,-1.460863474883502
maximum feasible,-4.5148663874294116e-05,-0.45148663874294115
