session,experiment,segment,nav
2018-07-03,S00,train,0.9994634980036451
2018-07-05,S00,train,0.9992455973518016
2018-07-06,S00,train,0.9989961537293477
2018-07-09,S00,train,0.9989234327128392
2018-07-10,S00,train,0.9990440420084048
2018-07-11,S00,train,0.9989201335317807
2018-07-12,S00,train,0.9988671499235356
2018-07-13,S00,train,0.9987392528361364
2018-07-16,S00,train,0.99825484415029
2018-07-17,S00,train,0.9981004243042627
2018-07-18,S00,train,0.9981117591169893
2018-07-19,S00,train,0.9979287689142984
2018-07-20,S00,train,0.9976764933064158
2018-07-23,S00,train,0.9976879026658696
2018-07-24,S00,train,0.9977936475098724
2018-07-25,S00,train,0.9976394139593036
2018-07-26,S00,train,0.9978641679472556
2018-07-27,S00,train,0.9973857619274809
2018-07-30,S00,train,0.997389959634519
2018-07-31,S00,train,0.9970504744509092
2018-08-01,S00,train,0.9970402573398316
2018-08-02,S00,train,0.9973803969225438
2018-08-03,S00,train,0.9972900755832993
2018-08-06,S00,train,0.9971218947533268
2018-08-07,S00,train,0.9969778765620351
2018-08-08,S00,train,0.9967231612088968
2018-08-09,S00,train,0.9966284399800984
2018-08-10,S00,train,0.9964044108987641
2018-08-13,S00,train,0.9962371010132376
2018-08-14,S00,train,0.9957641964193118
2018-08-15,S00,train,0.9956370244809016
2018-08-16,S00,train,0.9954387630965639
2018-08-17,S00,train,0.9951189237713889
2018-08-20,S00,train,0.9948752618715206
2018-08-21,S00,train,0.9949977334539251
2018-08-22,S00,train,0.9946480541920755
2018-08-23,S00,train,0.9944068646035268
2018-08-24,S00,train,0.9942170753406345
2018-08-27,S00,train,0.9944667492991807
2018-08-28,S00,train,0.9941208048744192
2018-08-29,S00,train,0.9937732164699559
2018-08-30,S00,train,0.9935392602696546
2018-08-31,S00,train,0.9934248708750651
2018-09-04,S00,train,0.992971176193795
2018-09-05,S00,train,0.9935820364042935
2018-09-06,S00,train,0.993104737602956
2018-09-07,S00,train,0.9928950899818528
2018-09-10,S00,train,0.9925926574732098
2018-09-11,S00,train,0.9923861046590579
2018-09-12,S00,train,0.9919752417375807
2018-09-13,S00,train,0.9918364830424481
2018-09-14,S00,train,0.9919318313903032
2018-09-17,S00,train,0.9915089618257884
2018-09-18,S00,train,0.9912664434199184
2018-09-19,S00,train,0.991056588394783
2018-09-20,S00,train,0.9908199268359086
2018-09-21,S00,train,0.9904665808623364
2018-09-24,S00,train,0.9906106783721931
2018-09-25,S00,train,0.9905164334190115
2018-09-26,S00,train,0.9902638647281492
2018-09-27,S00,train,0.9901472868427902
2018-09-28,S00,train,0.9899897974002497
2018-10-01,S00,train,0.9897361470002265
2018-10-02,S00,train,0.9894898673935181
2018-10-03,S00,train,0.9895592340412491
2018-10-04,S00,train,0.9890943823201778
2018-10-05,S00,train,0.988898271324907
2018-10-08,S00,train,0.9883351664416982
2018-10-09,S00,train,0.9881534429922411
2018-10-10,S00,train,0.9877102216092808
2018-10-11,S00,train,0.9879674154789568
2018-10-12,S00,train,0.9883844533885401
2018-10-15,S00,train,0.9879411714025202
2018-10-16,S00,train,0.9880662009508041
2018-10-17,S00,train,0.9879454140904993
2018-10-18,S00,train,0.9880083578474355
2018-10-19,S00,train,0.9878586287994161
2018-10-22,S00,train,0.9876875759381198
2018-10-23,S00,train,0.9873337996094773
2018-10-24,S00,train,0.9868226575225044
2018-10-25,S00,train,0.9869180064403181
2018-10-26,S00,train,0.9869319677114461
2018-10-29,S00,train,0.9862759997100966
2018-10-30,S00,train,0.9860804674031933
2018-10-31,S00,train,0.9860633598289648
2018-11-01,S00,train,0.9864786102283455
2018-11-02,S00,train,0.986343968114926
2018-11-05,S00,train,0.986339636181081
2018-11-06,S00,train,0.9862661979199517
2018-11-07,S00,train,0.9861796912616677
2018-11-08,S00,train,0.985956556960286
2018-11-09,S00,train,0.9855320880832973
2018-11-12,S00,train,0.9851268840185246
2018-11-13,S00,train,0.9848874303007336
2018-11-14,S00,train,0.9844663699897709
2018-11-15,S00,train,0.9843347303962107
2018-11-16,S00,train,0.9839375193673991
2018-11-19,S00,train,0.9833433654347633
2018-11-20,S00,train,0.9830526241662277
2018-11-21,S00,train,0.9830570818243719
2018-11-23,S00,train,0.9827711644353215
2018-11-26,S00,train,0.9825441667840618
2018-11-27,S00,train,0.9828905261276659
2018-11-28,S00,train,0.9828135391489032
2018-11-29,S00,train,0.9828334476389144
2018-11-30,S00,train,0.9828501317052095
2018-12-03,S00,train,0.9825640112453483
2018-12-04,S00,train,0.9823887077151922
2018-12-06,S00,train,0.9822407009995413
2018-12-07,S00,train,0.9821576054496718
2018-12-10,S00,train,0.9816530088387416
2018-12-11,S00,train,0.9813181280788082
2018-12-12,S00,train,0.981303753445064
2018-12-13,S00,train,0.9810112997720888
2018-12-14,S00,train,0.980919905707137
2018-12-17,S00,train,0.9806617592533559
2018-12-18,S00,train,0.980330126759173
2018-12-19,S00,train,0.97986344203599
2018-12-20,S00,train,0.9797239551062477
2018-12-21,S00,train,0.9795057927661145
2018-12-24,S00,train,0.9795140053112851
2018-12-26,S00,train,0.9794871528553274
2018-12-27,S00,train,0.9790692621595193
2018-12-28,S00,train,0.9791585759950284
2018-12-31,S00,train,0.9789121056745966
2019-01-02,S00,train,0.978730784115166
2019-01-03,S00,train,0.9789189259736292
2019-01-04,S00,train,0.9789305953910481
2019-01-07,S00,train,0.9783691479420841
2019-01-08,S00,train,0.9779595751547376
2019-01-09,S00,train,0.9775674624917619
2019-01-10,S00,train,0.9772754406243872
2019-01-11,S00,train,0.9770555674983387
2019-01-14,S00,train,0.9768867690574371
2019-01-15,S00,train,0.9769750963520193
2019-01-16,S00,train,0.9766589853877257
2019-01-17,S00,train,0.9764167684328064
2019-01-18,S00,train,0.9762362708405016
2019-01-22,S00,train,0.9760766076683305
2019-01-23,S00,train,0.9760080214732302
2019-01-24,S00,train,0.9760618990385905
2019-01-25,S00,train,0.9758819371922399
2019-01-28,S00,train,0.9754651706838146
2019-01-29,S00,train,0.9755527996792092
2019-01-30,S00,train,0.9756262173586221
2019-01-31,S00,train,0.9755099926160622
2019-02-01,S00,train,0.9755018266839739
2019-02-04,S00,train,0.9752217485870389
2019-02-05,S00,train,0.9749540890953393
2019-02-06,S00,train,0.9747290738976516
2019-02-07,S00,train,0.9744277316691847
2019-02-08,S00,train,0.974432037279254
2019-02-11,S00,train,0.974234754588766
2019-02-12,S00,train,0.9742525949215629
2019-02-13,S00,train,0.9741665777102592
2019-02-14,S00,train,0.9739796557687009
2019-02-15,S00,train,0.9740680303588509
2019-02-19,S00,train,0.9735741047373767
2019-02-20,S00,train,0.9732946854028451
2019-02-21,S00,train,0.9732807566862075
2019-02-22,S00,train,0.9730362735212067
2019-02-25,S00,train,0.9731123948067613
2019-02-26,S00,train,0.9730464749552963
2019-02-27,S00,train,0.9726288205954328
2019-02-28,S00,train,0.9725324711440528
2019-03-01,S00,train,0.9721268605093116
2019-03-04,S00,train,0.9719145765365368
2019-03-05,S00,train,0.9716376274227833
2019-03-06,S00,train,0.9712928654249087
2019-03-07,S00,train,0.9710558429648084
2019-03-08,S00,train,0.9710264890557555
2019-03-11,S00,train,0.9707185249523836
2019-03-12,S00,train,0.9704575920978589
2019-03-13,S00,train,0.9702064560055954
2019-03-14,S00,train,0.9699761110868387
2019-03-15,S00,train,0.9699334016579415
2019-03-18,S00,train,0.9697382516553382
2019-03-19,S00,train,0.9695047864201226
