date,symbol,adjusted_close_yahoo,adjusted_close_alpaca,return_yahoo,return_alpaca,return_difference
2025-04-09,SPY,539.6682739257812,534.07,0.1050192758263111,0.09335271357504049,-0.011666562251270607
2025-04-10,SPY,516.0206298828125,516.05,-0.04381885166408894,-0.03374089538824521,0.010077956275843736
2020-09-18,VAW,125.63550567626952,127.25,-0.01728542691664392,-0.0036019105786546657,0.013683516337989254
2020-09-21,VAW,121.16146850585938,121.12,-0.03561124816052075,-0.048172888015717064,-0.012561639855196316
2020-09-23,VAW,117.91008758544922,120.02,-0.027634875636233125,-0.011285937886152064,0.01634893775008106
2020-09-24,VAW,118.60747528076172,118.47,0.005914571938614666,-0.012914514247625353,-0.01882908618624002
2020-10-21,VAW,126.94873809814452,128.54,-0.0014243996936957881,0.011409237548194007,0.012833637241889795
2020-10-22,VAW,127.5283660888672,127.28,0.004565842870171588,-0.009802396141278868,-0.014368239011450457
2020-11-04,VAW,126.19703674316406,128.23,-0.01727914458734381,-0.002256458138811257,0.015022686448532552
2020-11-05,VAW,131.38658142089844,131.89,0.0411225557403232,0.028542462762224163,-0.012580092978099033
2020-11-10,VAW,136.23191833496094,135.93,0.013338516498639486,0.0,-0.013338516498639486
2021-03-24,VAW,152.3961181640625,154.16,0.005285801050396222,0.018700852441683624,0.013415051391287403
2021-03-25,VAW,155.04576110839844,153.75,0.01738655141782197,-0.0026595744680850686,-0.02004612588590704
2021-03-29,VAW,158.49612426757812,160.01,-0.005160575281263902,0.017034259200406687,0.02219483448167059
2021-07-26,VAW,165.03436279296875,165.05,0.009762183777469513,0.02002348433347767,0.010261300556008157
2021-08-18,VAW,168.271240234375,170.44,-0.009660010172969247,0.005427088249174039,0.015087098422143286
2021-08-19,VAW,166.21728515625,166.48,-0.012206215840949275,-0.02323398263318477,-0.011027766792235494
2021-09-21,VAW,159.01910400390625,159.48,-0.0028748920133457867,0.008920098690453626,0.011794990703799413
2021-09-30,VAW,159.56085205078125,162.54,-0.01484286162458437,0.0035811311434921222,0.01842399276807649
2021-10-01,VAW,162.14910888671875,160.82,0.016221126941047936,-0.010582010582010581,-0.026803137523058518
2021-10-06,VAW,162.1951904296875,160.64,-0.003677525403606885,-0.014780742103649325,-0.01110321670004244
2021-12-01,VAW,167.67568969726562,169.52,-0.03819931852575398,-0.02507476420519894,0.013124554320555037
2021-12-02,VAW,171.14820861816406,171.03,0.020709733934406227,0.008907503539405282,-0.011802230395000946
2022-01-25,VAW,167.55545043945312,168.96,-0.007235098713572419,0.006673021925643452,0.01390812063921587
2022-01-26,VAW,165.53872680664062,165.15,-0.012036156553088428,-0.02254971590909094,-0.010513559356002511
2022-01-28,VAW,166.80612182617188,164.41,0.005408627868781046,-0.008383594692400576,-0.013792222561181622
2022-01-31,VAW,169.3039093017578,169.37,0.014974195480600416,0.03016848123593463,0.015194285755334214
2022-04-06,VAW,178.1712188720703,176.77,-0.010668881781384698,-0.02681127504954839,-0.01614239326816369
2022-04-07,VAW,178.96017456054688,179.46,0.004428075945549059,0.01521751428409801,0.010789438338548951
2022-05-02,VAW,172.2956085205078,171.29,-0.00268645566531156,-0.019519175729822535,-0.016832720064510975
2022-05-12,VAW,164.06231689453125,163.14,-0.002989735938495386,-0.017879718258985156,-0.01488998232048977
2022-05-17,VAW,171.87789916992188,171.31,0.029866446019551907,0.018974541993813876,-0.01089190402573803
2022-05-20,VAW,166.77268981933594,164.33,-0.004157084492002028,-0.017811248580479333,-0.013654164088477305
2022-05-23,VAW,169.85438537597656,169.75,0.01847841849873033,0.032982413436377866,0.014503994937647535
2022-05-27,VAW,177.68850708007812,175.17,0.023963573785076964,0.011315743894694252,-0.012647829890382711
2022-05-31,VAW,174.67185974121094,174.83,-0.016977166325718995,-0.0019409716275616828,0.015036194698157312
2022-07-18,VAW,147.3346405029297,148.75,0.003434283768880997,0.01584374786587439,0.012409464096993394
2022-07-19,VAW,151.88253784179688,151.58,0.030867807620413412,0.019025210084033795,-0.011842597536379618
2022-09-01,VAW,152.8070526123047,151.12,-0.014989246814740786,-0.026037638566640875,-0.011048391751900088
2022-09-26,VAW,137.95872497558594,138.87,-0.01598635546575866,-0.005941302791696357,0.010045052674062305
2022-09-27,VAW,138.22019958496094,137.31,0.00189531042289115,-0.011233527759775375,-0.013128838182666525
2022-09-30,VAW,139.34776306152344,139.72,-0.00275511123365757,0.007426634941235966,0.010181746174893536
2022-10-13,VAW,145.49740600585938,145.27,0.029085508595734222,0.00790952612225082,-0.0211759824734834
2022-10-21,VAW,149.40313720703125,143.98,0.036069977084587146,0.0,-0.036069977084587146
2022-10-24,VAW,148.82102966308594,149.77,-0.003896220352713753,0.04021391859980561,0.04411013895251936
2022-10-25,VAW,152.06954956054688,151.45,0.021828365956177098,0.011217199706216041,-0.010611166249961057
2022-11-08,VAW,158.80130004882812,159.04,0.01646649622683083,0.026992121916569634,0.010525625689738805
2022-11-18,VAW,164.1434783935547,162.68,0.0066215033369996235,-0.011003708432123505,-0.017625211769123128
2022-12-12,VAW,167.279296875,165.61,0.008148084661214972,-0.008501466802370738,-0.01664955146358571
2022-12-13,VAW,169.438720703125,169.55,0.01290909197053014,0.023790833886842666,0.010881741916312526
2023-01-06,VAW,166.41600036621094,162.15,0.03322759072161863,0.0050204537002602745,-0.028207137021358353
2023-01-09,VAW,167.29383850097656,167.3,0.005274962340363176,0.03176071538698744,0.02648575304662426
2023-01-17,VAW,172.1075897216797,162.15,-0.009936672072002772,-0.060326842837273964,-0.05039017076527119
2023-01-18,VAW,169.78565979003906,170.65,-0.01349115361731279,0.05242059821153244,0.06591175182884523
2023-01-19,VAW,168.41700744628906,162.15,-0.008061059723433073,-0.04980955171403456,-0.04174849199060149
2023-01-20,VAW,171.767822265625,171.33,0.019895940856237804,0.05661424606845511,0.036718305212217306
2023-01-27,VAW,173.70277404785156,174.15,-0.0019523842338463604,0.008629676821498844,0.010582061055345204
2023-01-31,VAW,176.2512664794922,173.27,0.022617758421889178,-0.0015558372709461032,-0.02417359569283528
2023-02-01,VAW,177.93136596679688,177.65,0.009532410863556384,0.02527846713222126,0.015746056268664876
2023-02-06,VAW,173.13644409179688,162.15,-0.011159055164497778,-0.07501426126640054,-0.06385520610190276
2023-02-07,VAW,174.93927001953125,174.91,0.010412746647254112,0.07869256860931229,0.06827982196205817
2023-02-09,VAW,170.70120239257812,172.62,-0.014817358896659139,-0.0040387722132471104,0.010778586683412028
2023-02-10,VAW,171.1637420654297,170.9,0.0027096450778818504,-0.009964082956783638,-0.012673728034665488
2023-02-14,VAW,172.7494659423828,162.15,0.0029594513701969305,-0.05814358736059477,-0.0611030387307917
2023-02-16,VAW,172.0415496826172,172.62,-0.009455967152521616,0.06456984273820532,0.07402580989072693
2023-02-28,VAW,171.2014923095703,162.15,0.005153761314950822,-0.048024423178535836,-0.05317818449348666
2023-03-01,VAW,172.5984344482422,172.77,0.00815963762830929,0.06549491211840897,0.057335274490099675
2023-03-09,VAW,167.02008056640625,169.12,-0.024800359794272975,-0.008617152236356174,0.0161832075579168
