year,side,mean,median,count
2018,long,11.618715083798882,6.0,2148
2018,short,11.461002785515321,6.0,2154
2019,long,11.522279035792549,6.0,2738
2019,short,11.731573157315731,6.0,2727
2020,long,12.121932515337424,6.0,2608
2020,short,11.818357115310452,6.0,2593
2021,long,12.094252873563219,6.0,2610
2021,short,12.075086638428957,6.0,2597
2022,long,12.202609363008442,6.0,2606
2022,short,12.125479662317728,6.0,2606
2023,long,11.543768545994066,6.0,2696
2023,short,11.486666666666666,6.0,2700
2024,long,11.075949367088608,6.0,2607
2024,short,10.865488086087625,6.0,2602
