year,sector_before,sector_after,beta_before,beta_after
2018,0.022693599999999998,4.5465501816430823e-17,0.04660281611212819,1.6191526872573404e-16
2019,0.02479952380952381,4.647484241033995e-17,0.04751503048813549,1.8214983712818076e-16
2020,0.020943790476190476,5.526107483730656e-17,0.05813370957836789,2.743212196750407e-16
2021,0.022051942857142858,5.391195302684171e-17,0.06178709736598843,2.205680248234558e-16
2022,0.021652038095238097,6.195440985631454e-17,0.07844208199247323,2.692383766330789e-16
2023,0.025773339759036142,5.727853139917697e-17,0.06444104334632723,2.7049146055532333e-16
2024,0.026144723809523807,7.884924835244432e-17,0.09092089974924135,3.003498161159249e-16
