model,field,segment,min,p01,p25,p50,p75,p99,max
r_adaptive,q_prior,train,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
r_adaptive,q_prior,development,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
r_adaptive,r_prior,train,1.3469118852679185e-05,4.503283828874691e-05,0.00012069388066562569,0.00019620889266169127,0.0003464157205585604,0.0018870957661540622,0.01225853647529121
r_adaptive,r_prior,development,2.600766725113686e-05,5.24459896374886e-05,0.0001246735910260363,0.00018758646001830698,0.0002998794141297877,0.0011652591588557522,0.006380702339653119
qr_adaptive,q_prior,train,5.258777136679816e-06,1.9688539328234947e-05,9.623134476089012e-05,0.0001892884220284409,0.0003691705829968067,0.0019685756761618797,0.01
qr_adaptive,q_prior,development,1.2206150771538576e-05,4.145073701419459e-05,0.00016146303538114572,0.0002764810277697445,0.0004792806750073521,0.0020947427265636588,0.01
qr_adaptive,r_prior,train,1.3538165201733374e-05,4.499484433607944e-05,0.00012021272401448009,0.00019552603276512344,0.00034423051835088376,0.001836299019683583,0.012210031408404824
qr_adaptive,r_prior,development,2.5364937252057187e-05,5.170509826020442e-05,0.0001234126214626575,0.00018605411337684432,0.0002984948398987768,0.0011564421789046334,0.006294590108631081
