year,max_abs_net,max_abs_beta,max_abs_sector,mean_eligible_names
2018,1.1249681741709594e-15,1.2177758801357186e-15,2.620516650897464e-16,186.58333333333334
2019,1.029558382992235e-15,1.1570605584765303e-15,1.9905951886833861e-16,249.8452380952381
2020,8.673617379884035e-16,1.096345236817342e-15,1.7791757650487128e-16,250.0
2021,2.095545958979983e-15,2.4338170367954604e-15,4.531965080989409e-16,250.0
2022,1.17354043149831e-15,1.3114509478384662e-15,2.721347452938616e-16,250.0
2023,1.5681900222830336e-15,1.77115266897232e-15,3.469446951953614e-16,250.0
2024,2.0365653607967715e-15,2.0469737016526324e-15,5.386316392907986e-16,250.0
