experiment,status,reason,eligible,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_daily_net,train_average_abs_daily_beta,train_maximum_rebalance_net,train_maximum_rebalance_beta,train_maximum_rebalance_sector,train_worst_calendar_year_return,train_average_eligible_names,train_neutrality_failures,development_sessions,development_total_return,development_cagr,development_annual_volatility,development_sharpe,development_max_drawdown,development_positive_day_rate,development_status,development_gross_sharpe,development_gross_cagr,development_total_transaction_cost,development_total_borrow_cost,development_annual_turnover,development_average_gross,development_average_abs_daily_net,development_average_abs_daily_beta,development_maximum_rebalance_net,development_maximum_rebalance_beta,development_maximum_rebalance_sector,development_worst_calendar_year_return,development_average_eligible_names,development_neutrality_failures,robust_sharpe,worst_calendar_year
K00,REFERENCE_ONLY,OK,False,1259,-0.03265356440496936,-0.006622962582009118,0.01825063482912813,-0.3549847663513847,-0.054383793615337406,0.4328832406671962,COMPLETED,0.28475349736643013,0.005043476262770685,0.035043415073029965,0.023289008457407806,19.96584670808575,0.31042334485591433,0.0006033817412990191,0.0026839784923596414,2.4338170367954604e-15,2.8466812240779404e-15,5.455705331947058e-16,-0.012277917682558481,237.28571428571428,0,502,-0.007941592366772054,-0.003994530992586065,0.011409257576682355,-0.3451182629331075,-0.015174352996276785,0.4681274900398406,COMPLETED,0.7304997020466533,0.008282430289718867,0.014657259647972872,0.009746745197008667,20.95816816900395,0.32391744164423164,0.00042499005258408247,0.002564550347207447,1.7503359872605984e-15,1.8301332671555315e-15,4.440892098500626e-16,-0.004651003155129563,250.0,0,-0.3549847663513847,-0.012277917682558481
K01,COMPLETED,OK,False,1259,-0.037094730175037505,-0.007537502650564187,0.016873745710555988,-0.4399661540955339,-0.05746422561634357,0.443208895949166,COMPLETED,0.25703143351031044,0.004202287811621241,0.03503439927611366,0.023715644237824133,19.96584670808575,0.3161262048964,0.0005589082295629907,0.002507949404683164,2.095545958979983e-15,2.4338170367954604e-15,4.531965080989409e-16,-0.013810931432327589,237.28571428571428,0,502,-0.008663112601185463,-0.004358235339526173,0.010688926034474338,-0.4032876963466805,-0.013528288970964364,0.4641434262948207,COMPLETED,0.7531036368214432,0.007996547885776417,0.014654123475062477,0.009912378692804452,20.95816816900395,0.3295775129440855,0.0004001917371290095,0.0024529990670012413,2.0365653607967715e-15,2.0469737016526324e-15,5.386316392907986e-16,-0.006282313882676527,250.0,0,-0.4399661540955339,-0.013810931432327589
K02,COMPLETED,OK,False,1259,-0.04064831776674571,-0.008271702516031154,0.01733124483623366,-0.47060083450722384,-0.05982569630564705,0.43367752184273234,COMPLETED,0.2078656760433547,0.0034579727885470923,0.03503449971302612,0.023708467175591753,19.96584670808575,0.3160339167911042,0.0005675400579967126,0.00253170645842468,1.9931972738973514e-15,2.3175905639050143e-15,4.488596994089988e-16,-0.013775761905269746,237.28571428571428,0,502,-0.009132360357103964,-0.00459484477801686,0.010687012783807874,-0.42560075861959834,-0.01427866279827883,0.4641434262948207,COMPLETED,0.7314110002309762,0.007762292206718424,0.01465411386115218,0.009922822116699603,20.95816816900395,0.32998767216459607,0.000400563317567282,0.002444013142435884,1.8023776915399026e-15,1.8544193958192068e-15,4.670742959067553e-16,-0.006721748747175127,250.0,0,-0.47060083450722384,-0.013775761905269746
K04,COMPLETED,OK,False,1259,-0.035732766408648864,-0.007256684366365285,0.01645463569981665,-0.4344055716307679,-0.06525283833436368,0.44082605242255757,COMPLETED,0.2711051527366745,0.004334936443340265,0.035038580555845106,0.02295842056129549,19.96584670808575,0.305781325963429,0.0005341661804588503,0.0022285605208323058,2.570860191397628e-15,3.0236230186275748e-15,5.891554605286231e-16,-0.013970004602904096,237.28571428571428,0,502,-0.012701341308519742,-0.00639626623571532,0.010764915019965316,-0.5907057469910558,-0.01195999342825127,0.4800796812749004,COMPLETED,0.544279530395534,0.005798622525428732,0.014655337273316062,0.009644406047161755,20.95816816900395,0.31998569731034676,0.000398198082110811,0.0022273913459112584,1.4051260155412137e-15,1.592476150946709e-15,3.235259282696745e-16,-0.009076325452647915,250.0,0,-0.5907057469910558,-0.013970004602904096
K03,COMPLETED,OK,False,1259,-0.04936093531749475,-0.010081047740787774,0.013649790951676833,-0.7354660823576064,-0.055461378441057696,0.45194598888006354,COMPLETED,0.15960588382377114,0.002085846718768325,0.03504270499878595,0.02598634201955736,19.96584670808575,0.3462162769320055,0.0004844349801644844,0.0018224466511388964,3.2213814948889308e-15,3.771288836773579e-15,6.930220286527344e-16,-0.01998218095858595,237.28571428571428,0,502,-0.02025667396555897,-0.010220505171791516,0.010843616684458894,-0.9419544217715536,-0.0205419490148121,0.4940239043824701,COMPLETED,0.2648862074625861,0.002806966139259348,0.014657189649438209,0.011389997586704923,20.95816816900395,0.3776221931250344,0.0004212656693846751,0.001816982922638133,2.9238764187589084e-15,3.1567630454087947e-15,5.919743861770854e-16,-0.011934251184894995,250.0,0,-0.9419544217715536,-0.01998218095858595
K05,COMPLETED,OK,False,1259,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.169047619047619,0,502,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.508982035928144,0,,0.0
K06,COMPLETED,OK,False,1259,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4214285714285715,0,502,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4550898203592815,0,,0.0
K07,COMPLETED,OK,False,1259,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26904761904761904,0,502,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934131736526946,0,,0.0
K08,COMPLETED,OK,False,1259,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2785714285714285,0,502,0.0,0.0,0.0,,0.0,0.0,COMPLETED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2874251497005988,0,,0.0
