family,segment,year,mean_ic,mean_rank_ic
adaptive_kalman,train,2018,0.0030264710097585293,0.0053371279501686865
adaptive_kalman,train,2019,0.0019292570301145612,0.009982752218399574
adaptive_kalman,train,2020,0.02116039176022665,0.025037920172095954
adaptive_kalman,train,2021,-0.008795249181625714,-0.003503554573904753
adaptive_kalman,train,2022,-0.0003921512757439262,0.0005109432998843165
adaptive_kalman,development,2023,0.011026137267757048,0.014453632649365996
adaptive_kalman,development,2024,0.012089704057134009,0.016272546625182367
residual_reversal,train,2018,0.012122445463440877,0.011514901705881635
residual_reversal,train,2019,-0.005068881753522719,-0.00031564271213100454
residual_reversal,train,2020,0.021562225416349085,0.019429750364267234
residual_reversal,train,2021,-0.01955718905020336,-0.01229555112629954
residual_reversal,train,2022,0.0057036200353959956,0.007544726219328971
residual_reversal,development,2023,0.006327940035056048,0.0060604935363886125
residual_reversal,development,2024,-0.010678274023849037,0.0006166628826048713
volume_price_dislocation,train,2018,0.006719406076452193,0.0043340417238680795
volume_price_dislocation,train,2019,0.00776989955819177,0.0035973274104425766
volume_price_dislocation,train,2020,-0.004743590561729583,-0.01215369492533053
volume_price_dislocation,train,2021,0.006483082299348955,0.0028621821988714315
volume_price_dislocation,train,2022,0.005759171853613702,0.006527266032847224
volume_price_dislocation,development,2023,-0.01119942676123015,-0.008330090742726127
volume_price_dislocation,development,2024,-0.005922999664279668,-0.008142811921490398
volatility_conditioned_reversal,train,2018,-0.002012895868690752,-0.0029211239024286195
volatility_conditioned_reversal,train,2019,0.0026486840664867446,0.005787063051150474
volatility_conditioned_reversal,train,2020,0.0001374540403652344,-0.00046833838738535903
volatility_conditioned_reversal,train,2021,0.0036388912996596365,0.002701318648277112
volatility_conditioned_reversal,train,2022,0.01269161871770255,0.008928539067304843
volatility_conditioned_reversal,development,2023,-0.0068766119154605575,-0.007529005292559358
volatility_conditioned_reversal,development,2024,0.0008213438937419863,0.002470659472682358
