year,ic,rank_ic
2018,0.007783420618014685,0.013033177001157347
2019,0.002688951936553284,0.011236216096910848
2020,0.02138498087821893,0.025233862220732466
2021,-0.00765687323525842,-0.002302043322393571
2022,-0.0006772619289988989,0.0005056736771926036
2023,0.01044685709950081,0.014045766559491048
2024,0.014193389338107047,0.01857487579554955
