family,status,reason,slope,observations,mean_rank_ic,icir,digest
trend,ADMITTED,OK,0.0009144556998823329,42760,0.04371061921664811,0.11376206041353608,0ef4cfddd554ade13d72bd86cb5848c7251d255e72e0e99e1c7928ef0f47870e
kalman_relative_value,ADMITTED,OK,0.00024370167594360784,29274,0.003931525204421039,0.01402652341495915,1d1a09467d1940fe603ea1d84a13adf365e05b0acc51ef4818a5fabd1a8714ef
ratio_mean_reversion,BLOCKED,NONPOSITIVE_TRAIN_SLOPE,-0.00016890043160690412,29274,-0.012176406896232922,-0.035657153976940234,685d2b037324bfc815d7b2788cf4d060ad95e23e39d7d96f043b7f5187569476
