experiment,status,reason,eligible,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_annual_turnover,train_total_transaction_cost,train_total_borrow_cost,train_maximum_abs_net,train_maximum_factor_exposure,train_average_eligible_assets,train_constraint_failures,train_worst_calendar_year_return,validation_sessions,validation_total_return,validation_cagr,validation_annual_volatility,validation_sharpe,validation_max_drawdown,validation_positive_day_rate,validation_status,validation_gross_sharpe,validation_gross_cagr,validation_annual_turnover,validation_total_transaction_cost,validation_total_borrow_cost,validation_maximum_abs_net,validation_maximum_factor_exposure,validation_average_eligible_assets,validation_constraint_failures,validation_worst_calendar_year_return,robust_sharpe
M01,COMPLETED,OK,False,2267.0,-0.0032937845430955903,-0.00036667457144190507,0.001745712680646199,-0.20920879676041754,-0.007728274973603844,0.49757388619320686,COMPLETED,-0.017579404368851016,-3.219716318469956e-05,0.6949884510868118,0.0012663559318635798,0.0017431998252534693,1.3166551182663966e-15,1.0935696792557792e-14,12.95364238410596,0.0,-0.005535842396015678,1007.0,-0.0008867722001306699,-0.0002219870106915378,0.001565022266217217,-0.14107666747602984,-0.004693364511343723,0.46871896722939427,COMPLETED,0.2827546220000525,0.00044134025099262786,1.5588229246672476,0.0012517190785874906,0.0013986671198317224,1.8038955745813823e-15,1.4200446374346143e-14,13.0,0.0,-0.0011695234758233308,-0.20920879676041754
M05,COMPLETED,OK,False,2267.0,-0.028857513066600005,-0.003249707749562347,0.010310128506976556,-0.31055408259992795,-0.05685247079112221,0.4838994265549184,COMPLETED,-0.13186440695099524,-0.0014123922310188552,1.2893648298582596,0.0023508338911015234,0.014216651792167342,8.289809810824167e-15,7.640416077592249e-14,12.955752212389381,0.0,-0.017488288446889322,1007.0,-0.01914093306465192,-0.004824744482215926,0.010515749901329585,-0.4546652807795664,-0.037684496398904255,0.48758689175769615,COMPLETED,-0.241291268684822,-0.0025888323877073516,1.5828466293596377,0.0012724993166517051,0.007695319851522899,6.351690007289079e-15,2.2843706093400584e-14,13.0,0.0,-0.009018020896642498,-0.4546652807795664
M04,COMPLETED,OK,False,2267.0,-0.03986635363683544,-0.004512093658459837,0.010968530020667128,-0.40681247592738623,-0.05928719796696036,0.48125275694750774,COMPLETED,-0.2069725075250316,-0.0023280674567504045,1.7032253293830792,0.0031021499889721084,0.016612788645640725,2.5375535006588734e-14,1.761576995384928e-13,12.95364238410596,0.0,-0.01764581910280205,1007.0,-0.022325875957729946,-0.005634390169639736,0.010601159516292412,-0.5276900633972372,-0.035448991797785157,0.4915590863952334,COMPLETED,-0.2992629977077703,-0.0032226297952067107,1.7659544591234992,0.0014196557825015305,0.008260399846556112,6.5373054192185975e-15,2.7519653222896068e-14,13.0,0.0,-0.010118346069989403,-0.5276900633972372
M03,COMPLETED,OK,False,2267.0,-0.027140352008619306,-0.003053948433948017,0.006617552534905677,-0.4588879357293196,-0.03717682116671173,0.4693427437141597,COMPLETED,-0.2630665088308246,-0.0017619937427136856,0.8463031790393963,0.0015390437940621556,0.010111540772738343,2.994132719535969e-15,1.680426631178733e-14,12.95364238410596,0.0,-0.013983367707964933,1007.0,-0.020228346810769793,-0.0051009544956451824,0.007873373511867643,-0.6455937469795506,-0.031028716984836113,0.48659384309831183,COMPLETED,-0.4540131076038374,-0.003598677609928602,1.0135593867779387,0.0008149010156911832,0.005214338499831958,1.5187504032176946e-15,8.61116733474887e-15,13.0,0.0,-0.0094456701533836,-0.6455937469795506
M00,COMPLETED,OK,False,2267.0,-0.0572476149756419,-0.006531644051379959,0.01453132167371351,-0.4436931747599796,-0.08270820916625199,0.4918394353771504,COMPLETED,-0.21181095390945193,-0.0031807477018336305,2.567962786013819,0.004674637542417963,0.025618033017653412,1.0005191120043833e-13,1.1536258059940963e-13,18.922737306843267,0.0,-0.02752676608915694,1007.0,-0.029204246858073102,-0.007389714022019156,0.01030495106453759,-0.7146069414758534,-0.042773146152467856,0.47070506454816285,COMPLETED,-0.39933307974058535,-0.004159272635935518,2.0510239322764856,0.0016496899128683232,0.01133391676971528,4.4938879006917176e-14,1.657007864253046e-14,19.0,0.0,-0.017075900446561598,-0.7146069414758534
M02,BLOCKED,NONPOSITIVE_TRAIN_SLOPE,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
