candidate,eligible,robust_sharpe,mean_sharpe,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_gross_total_return,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_net,train_average_abs_beta,train_missing_held_sessions,validation_sessions,validation_total_return,validation_cagr,validation_annual_volatility,validation_sharpe,validation_max_drawdown,validation_positive_day_rate,validation_gross_total_return,validation_total_transaction_cost,validation_total_borrow_cost,validation_annual_turnover,validation_average_gross,validation_average_abs_net,validation_average_abs_beta,validation_missing_held_sessions
residual_efficiency_63_tail20_r10,False,-0.03346717502643958,0.08014467433569342,1259,-0.012660593593136538,-0.002547059151657316,0.04538993075089535,-0.03346717502643958,-0.07910299962367007,0.4980142970611596,0.05165076720675632,0.008611481787701216,0.054487401533287474,4.903891977760127,0.7281998217338045,0.007157037152444477,0.012802376091525946,0,502,0.011072975713372069,0.005543303630235918,0.031009922911050244,0.19375652369782642,-0.03504450744315357,0.5537848605577689,0.03703875601999407,0.0026330333063313087,0.022726556606423372,3.7649402390438245,0.7601356879166564,0.006900482060728308,0.022665665279533703,0
residual_trend_63_tail20_r10,False,-0.03921906897179775,0.006156999199340183,1259,-0.014033341280058842,-0.00282479573629979,0.045595236600608796,-0.03921906897179775,-0.07771430968466309,0.4988085782366958,0.05005410448269387,0.008611363852890514,0.05435933488394822,4.903891977760127,0.7263106028270585,0.007175265853497736,0.01308145802232645,0,502,0.0022300862751891692,0.0011188645810855657,0.03103584704312974,0.051533067370478115,-0.035390579660135146,0.5577689243027888,0.02789000108841444,0.0026328616330290123,0.02264954769467932,3.7649402390438245,0.7558470486036389,0.0061535777934134585,0.022066018531268515,0
residual_efficiency_126_tail20_r10,False,-0.05930934682334568,0.04058931196262798,1259,-0.022781099297269014,-0.0046019587848753485,0.05354390909083737,-0.05930934682334568,-0.09914965807236364,0.5083399523431295,0.05022676789167746,0.008615497170859392,0.06342948158241966,4.903891977760127,0.8459369760937043,0.007513593387308913,0.014685202476628216,0,502,0.008846193829823212,0.004430980047960276,0.03610475834631978,0.14048797074860164,-0.047911851171635766,0.5199203187250996,0.03862361068140152,0.0026339313790509685,0.026457334257370513,3.7649402390438245,0.8844514574414369,0.00800672774062931,0.02503123373558227,0
residual_trend_126_tail20_r10,False,-0.07324633652911945,-0.009691908568417663,1259,-0.026896269724553168,-0.005442386166688018,0.0543157413427174,-0.07324633652911945,-0.10307859480872039,0.5019857029388404,0.04618969812993412,0.008614901390875826,0.0637981216818171,4.903891977760127,0.8506860660543801,0.007805242869669967,0.014689604001211921,0,502,0.002592164465240021,0.0013004070909872212,0.0364438260884071,0.053862519392284126,-0.047808994015985595,0.5139442231075697,0.032452770799570985,0.0026337934709390657,0.026716433600227945,3.7649402390438245,0.8910884462882315,0.007246672539867625,0.02444143365179206,0
residual_efficiency_63_rank_r10,False,-0.0855882253827639,-0.03234160202939737,1259,-0.023180542922097036,-0.004683411625372891,0.043689243798467205,-0.0855882253827639,-0.07412088568845976,0.4932486100079428,0.04259142457474607,0.008610248943792235,0.05654831339682055,4.903891977760127,0.7550539514800999,0.006082792193060162,0.012841776593138643,0,502,0.0003429093566451602,0.0001721230690865383,0.030593064986685615,0.020905021323969156,-0.033157347755487176,0.5298804780876494,0.027011324357026023,0.002632842463077323,0.023679509533764354,3.7649402390438245,0.7899922264061177,0.005299193278889012,0.018742039647197253,0
residual_trend_63_rank_r10,False,-0.09465230980748741,-0.04555322106026457,1259,-0.02518668593984863,-0.0050928991143474045,0.04380094081010778,-0.09465230980748741,-0.0746050214880748,0.49563145353455124,0.04037613101632509,0.008609964166955005,0.05647718288687273,4.903891977760127,0.7540546682635252,0.0060945239719136434,0.012980796934929218,0,502,-0.0007224367679752319,-0.0003627227629248164,0.030733967884406257,0.0035458676869582826,-0.03333642009473203,0.5358565737051793,0.025864206198276785,0.002632709473862124,0.023627503597315698,3.7649402390438245,0.7881784154958641,0.005292356003393124,0.01901324251965257,0
residual_trend_126_tail20_r21,False,-0.10892879409765792,-0.10297117185315141,1259,-0.028745205874644575,-0.005820913974736386,0.04818142082668407,-0.0970135496086449,-0.10042044468306799,0.5043685464654488,0.029586454883476332,0.004129406083540075,0.054186612863608166,2.35186656076251,0.7206665250339567,0.010696788449559036,0.029267543581505923,0,502,-0.00791000678881948,-0.003978612325887032,0.031924926734294805,-0.10892879409765792,-0.04385765077483561,0.5179282868525896,0.016838637363487452,0.0012287134107563961,0.023410248294696658,1.7569721115537849,0.7715779967123436,0.010713030005147204,0.04131184102099803,0
residual_efficiency_63_tail20_r21,False,-0.11004275564255259,-0.07849482763646168,1259,-0.02461265004564661,-0.004975659957580314,0.03856324079910406,-0.11004275564255259,-0.07845982451704414,0.4996028594122319,0.021919452820722052,0.004129231420179135,0.042468884968931156,2.35186656076251,0.5662583707883155,0.00796609798867159,0.021774630487634842,0,502,-0.0029243573294390757,-0.0014690746077828942,0.024781780329778513,-0.046946899630370756,-0.03142619917624978,0.545816733067729,0.016515818131072058,0.0012286473623414327,0.01808054850204563,1.7569721115537849,0.5966099770306349,0.0074749179645867535,0.028266010779051044,0
residual_efficiency_126_rank_r10,False,-0.13527153991725632,-0.04811483407161507,1259,-0.04253553033419755,-0.008662500603038192,0.053650982657568964,-0.13527153991725632,-0.10298891685988154,0.511517077045274,0.0311292097129805,0.00859884641972248,0.06551461041500622,4.896697968999644,0.8751208814278776,0.007571784519318393,0.011327027367600676,0,502,0.001505539732215233,0.000755485835297609,0.035172443567703965,0.03904187177402618,-0.04327840832512997,0.5318725099601593,0.03190120995431722,0.002633273162891997,0.02726744822823228,3.7649402390438245,0.9133629201838032,0.008171442482996994,0.01907545679680907,0
residual_efficiency_126_tail20_r21,False,-0.13784096790004197,-0.06709522330997371,1259,-0.03786530016658507,-0.007696524382696079,0.04775763158177042,-0.13784096790004197,-0.10031943132234966,0.5011914217633042,0.01987337778151521,0.004129618097720241,0.05414163762056936,2.35186656076251,0.7195828049348053,0.010492643171265725,0.029147108353240355,0,502,-0.0007830708141859377,-0.0003931719878695894,0.03195451080529267,0.003650521280094543,-0.04358154546096504,0.5258964143426295,0.02409650915382877,0.0012287855739563805,0.023364725080324278,1.7569721115537849,0.7712613338819059,0.010424870753050836,0.0426050479883214,0
