candidate,eligible,robust_sharpe,mean_sharpe,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_gross_total_return,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_net,train_average_abs_beta,train_missing_held_sessions,validation_sessions,validation_total_return,validation_cagr,validation_annual_volatility,validation_sharpe,validation_max_drawdown,validation_positive_day_rate,validation_gross_total_return,validation_total_transaction_cost,validation_total_borrow_cost,validation_annual_turnover,validation_average_gross,validation_average_abs_net,validation_average_abs_beta,validation_missing_held_sessions
residual_momentum_63_skip_5_tail20_r21,False,-0.04388498763731093,0.0398403802934442,1259,-0.013226981051097875,-0.0026616141488816636,0.041280231837438834,-0.04388498763731093,-0.07526738592813731,0.4996028594122319,0.033306073681190096,0.004131008635340455,0.04194265756814668,2.35186656076251,0.5598765727552166,0.008125727964401554,0.02348422907289434,0,502,0.005956791476434464,0.0029858396503228413,0.02709516199432817,0.12356574822419933,-0.03450371610832903,0.5418326693227091,0.02552716596440585,0.0012290214049467485,0.018038793648625526,1.7569721115537849,0.5969109323410753,0.007998944154449489,0.035199410000130125,0
residual_momentum_252_skip_21_tail20_r21,False,-0.07535095781302266,0.06334381427441427,1259,-0.027304761565634772,-0.005525966082218781,0.054068603825943654,-0.07535095781302266,-0.12136327599519126,0.4567116759332804,0.03166807762189605,0.0036927422663456163,0.05515808798109842,2.1016679904686257,0.734815047900121,0.010041171050575665,0.02402576043513341,0,502,0.013645882998859271,0.006827005897780181,0.03707246946106133,0.20203858636185118,-0.029314042757881298,0.5278884462151394,0.043032751987769124,0.0012292643798545123,0.027349258027850896,1.7569721115537849,0.910422169991637,0.008853947505856474,0.0309446861803491,0
raw_momentum_252_skip_21_tail20_r21,False,-0.08721115390273257,0.05919184556934032,1259,-0.02926475072084922,-0.0059273827420569525,0.052381949056385824,-0.08721115390273257,-0.10884948560574137,0.4980142970611596,0.031851004424501506,0.004131302671221327,0.05691329979567106,2.35186656076251,0.7583777776513724,0.00955781174073362,0.02705256065146699,0,502,0.011713465388160316,0.005863015487783008,0.030727135390767952,0.2055948450414132,-0.030949683653782256,0.5199203187250996,0.036788044090033445,0.001229115691500217,0.023252355356246496,1.7569721115537849,0.7754604330890805,0.007269412952608026,0.03265770935298437,0
residual_momentum_63_skip_5_rank_r21,False,-0.10526442178936235,-0.08553035107241377,1259,-0.01678899804272449,-0.0033832596834929562,0.039583952191727834,-0.06579628035546521,-0.07258967906480418,0.5019857029388404,0.029396986984703943,0.004129924016839662,0.04177004148698039,2.35186656076251,0.5571018105125625,0.007210219714704269,0.018295606304041236,0,502,-0.005878038168851574,-0.002955059894887202,0.025120372740692076,-0.10526442178936235,-0.033051928040466305,0.5438247011952191,0.012802017386728926,0.0012288423517416483,0.017386796765289893,1.7569721115537849,0.5743050750830511,0.007360657999335836,0.02749852173465311,0
raw_momentum_252_skip_21_rank_r21,False,-0.1072819323459245,-0.005403153986176343,1259,-0.03702999765420867,-0.0075241485022292665,0.055821307814628074,-0.1072819323459245,-0.10929253562606334,0.4980142970611596,0.02972924922242348,0.004130889682541623,0.0628854653155074,2.35186656076251,0.8372425168118861,0.0086724063781003,0.023179902200657375,0,502,0.005263042351583813,0.0026385519964851056,0.032922711647770025,0.09647562437357181,-0.03136391769451663,0.5258964143426295,0.03334726560457102,0.0012290362790277985,0.026323841848414117,1.7569721115537849,0.8741266001473618,0.008038434506888436,0.0252562724878691,0
raw_momentum_252_skip_21_tail30_r21,False,-0.10994271394052622,-0.0038069524137932867,1259,-0.03330143273508768,-0.006756164352023197,0.05017322958583928,-0.10994271394052622,-0.09899859170575942,0.49404289118347894,0.03099093077657744,0.004130543976788262,0.06024693670834452,2.35186656076251,0.802100109702521,0.009175694724642684,0.025309715954332693,0,502,0.005265057256552019,0.0026395608215352695,0.030215296215871473,0.10232880911293965,-0.03222742187923322,0.5278884462151394,0.03207820520542071,0.001228929079305213,0.025093306441242254,1.7569721115537849,0.8327151246576372,0.008399181722503356,0.0337299618882797,0
residual_momentum_63_skip_5_rank_r10,False,-0.11624601249978374,-0.05417943483357216,1259,-0.030643674411736987,-0.006210182615720483,0.04490731405423451,-0.11624601249978374,-0.076792416127481,0.48848292295472595,0.034281911481365945,0.008612983401106658,0.05621206948522561,4.903891977760127,0.7502490161750343,0.005976811535852262,0.013088461179870382,0,502,-0.0004955139214860571,-0.00024877473913276216,0.031569311904203375,0.007887142832639417,-0.037078706959190466,0.5338645418326693,0.026001140487391883,0.0026335708296374083,0.02353293858062136,3.7649402390438245,0.7827758099125653,0.006532095981480591,0.01921073974402747,0
residual_momentum_252_skip_21_rank_r21,False,-0.12527466430851597,-0.020116113569626864,1259,-0.039233808296058936,-0.007979193269649354,0.05278587949954459,-0.12527466430851597,-0.11080594232812757,0.45432883240667193,0.022192092427828713,0.0036916172565312527,0.058271417444647075,2.1016679904686257,0.776192261741467,0.007889436330455947,0.01809673794866588,0,502,0.0046202397479042645,0.002316661392392838,0.03399391285945992,0.08504243716926224,-0.03006027867539629,0.5338645418326693,0.03424507778943475,0.0012290009696432247,0.02783167693732709,1.7569721115537849,0.9269992670669674,0.007018222523021569,0.020428071101251843,0
raw_momentum_63_skip_5_rank_r21,False,-0.14120346361000619,-0.10307736064577584,1259,-0.032700410253075796,-0.006632591697791179,0.04112991478001882,-0.14120346361000619,-0.08088528124011507,0.5003971405877681,0.012527250220532471,0.0041299083778288245,0.04156097738206144,2.35186656076251,0.5530702903649379,0.007815027160244115,0.01811777181914194,0,502,-0.0038382627574664596,-0.0019286223617517306,0.024939653603076158,-0.0649512576815455,-0.033239709599884426,0.5398406374501992,0.014649934817142718,0.0012289290653808077,0.017159968379280903,1.7569721115537849,0.5659669853443406,0.008065538795213168,0.02748549386150454,0
raw_momentum_63_skip_5_tail20_r10,False,-0.1424132261975408,-0.037603515173411206,1259,-0.03376263915866895,-0.0068510319360612915,0.04205813090475742,-0.1424132261975408,-0.07232550445475028,0.49007148530579825,0.025155448710919348,0.008613400960225462,0.05057248327138392,4.903891977760127,0.6745542047918132,0.0063600216653336246,0.012578630199739812,0,502,0.0031547854778175566,0.0015824350638713458,0.030391418416590526,0.06720619585071838,-0.03612049364449077,0.5358565737051793,0.027852840829208247,0.002633700331231972,0.02169037138183453,3.7649402390438245,0.7208772280563965,0.0072597151007274385,0.02159346423250556,0
