symbol,security_id,sector,first_eligible,train_eligible_sessions,development_eligible_sessions
LRCX,3ae976ac-6d14-4c4f-b02d-e83813f8a829,Information Technology,2018-10-01,1071,502
XYZ,3bd2f8c7-ceb9-4916-8a1e-4bcf3654efd9,Financials,,0,0
KVUE,3bded6a8-55f6-40d0-8157-1d2eb50cf7d8,Consumer Staples,,0,0
BA,3bed4fb2-4093-4433-b887-770ae3defd3a,Industrials,2018-10-01,1071,502
CAH,3c1286a9-21d1-45cf-b569-502c86ff121d,Health Care,2018-10-01,1071,502
NUE,3c3a99ab-4500-4f14-8f23-50a01d3019b1,Materials,2018-10-01,1071,502
ZBRA,3c6eaa3f-d12a-4e72-aab5-b0e005ba631a,Information Technology,2019-05-15,916,75
DOV,3d61eb0a-68d9-4a74-9f71-57551a892a5f,Industrials,2018-10-01,1071,502
MAS,3d9e6406-e27a-4c27-a898-ab1670650b5a,Industrials,2018-10-01,1019,0
EXPE,3e3bbdb0-d6a4-4db1-8fbb-133f75fd4f66,Consumer Discretionary,2018-10-01,1071,502
SNA,3f252264-10aa-47db-9c4b-42bd452e36f4,Industrials,2018-10-01,222,0
WMT,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,Consumer Staples,2018-10-01,1071,502
WEC,3fc48ca4-397a-48d0-aae0-908c807f7159,Utilities,2018-10-01,1071,502
ABNB,403113aa-7838-4345-dd32-d63a5f9da70b,Consumer Discretionary,2022-09-09,79,502
ROK,4039d327-5ab5-4040-8920-b23ab2e669b2,Industrials,2018-10-01,1071,502
BDX,419e89a6-efe2-4773-ba4f-1bf5dca33cb2,Health Care,2018-10-01,1071,502
ADM,41e7c72d-bf5f-4ff9-9813-387ef5038cf3,Consumer Staples,2018-10-01,1071,502
PKG,42682c03-86b5-452b-8711-01ec96295840,Materials,2018-10-01,414,0
DHR,42f6d400-741b-4a18-ae61-73faae71e2cb,Health Care,2018-10-01,1071,502
DUK,42f7b895-93aa-48d4-909e-6e05ad6bd2ca,Utilities,2018-10-01,1071,502
WAT,4373b822-84c5-4a0b-87f8-428c6e982a1b,Health Care,2018-10-01,888,212
MAA,43c10351-9d2c-40cd-879a-9aaa21d5db01,Real Estate,2020-06-29,129,11
TXN,440efabf-b53c-4d70-b6e5-abb4f53e7104,Information Technology,2018-10-01,1071,502
APO,4493d0ec-797a-4e84-a849-06aa60fb726f,Financials,2020-06-17,291,502
GRMN,44ddf865-1d4c-443a-b0a4-d8304a703836,Consumer Discretionary,2019-05-08,515,0
PH,44de3ac7-fd5e-4c49-99ae-561246d323f5,Industrials,2018-10-01,1071,502
MKC,45c52e44-2c57-4886-9ec0-be254b4a8590,Consumer Staples,2018-10-01,1060,100
INCY,460d5fb3-ed90-48a1-b0d7-276f08f617f5,Health Care,2018-10-01,670,0
TTWO,46502bdb-1f73-48cd-a9e7-e194d1d6938d,Communication,2018-10-01,1071,502
BLK,467bc92e-332b-4f62-95c7-3c9288c20018,Financials,2018-10-01,1071,502
NSC,477b4ce8-cdd7-48b8-9c40-e64e37bbeadd,Industrials,2018-10-01,1071,502
GWW,486a7ad1-ef92-4e1f-a113-3c4a04e29034,Industrials,2018-10-01,1071,502
AXP,49b90cdc-f6f5-4a7c-807a-ed172e6017af,Financials,2018-10-01,1071,502
APH,4b36cdb2-64e4-4f6c-9dd6-8c1326cf5829,Information Technology,2018-10-01,1071,502
WY,4c3e17f6-0d5a-44ec-b05f-c0f7b973d7db,Real Estate,2018-10-01,1071,325
IVZ,4c95e7ec-088b-4406-b011-f3db977acb5a,Financials,2018-10-01,467,0
ROL,4cbd2a17-105f-470d-b690-1e58aa0ce908,Industrials,,0,0
STLD,4cbeae28-abb2-4b2c-9fc2-acd8cae641d9,Materials,2018-10-01,501,502
EL,4cdbdf28-5c76-463f-bce0-23bcb2d3bb49,Consumer Staples,2018-10-01,1071,502
NVDA,4ce9353c-66d1-46c2-898f-fce867ab0247,Information Technology,2018-10-01,1071,502
DOC,4cfb073b-88c3-4ed5-82f9-64a689aa83ed,Real Estate,,0,0
HON,4d463097-3a48-4120-a2ec-d9a4b68302a9,Industrials,2018-10-01,1071,502
FDS,4d61ebe4-a03e-4ba2-a0cd-1c59dee8d7ce,Financials,2020-02-11,90,0
RTX,4d8f7f83-d998-4839-9134-38473cd13123,Industrials,2021-12-30,253,502
NDSN,4df3f2ef-4d3d-4c9e-a7ca-d69919e79a43,Industrials,,0,0
MO,4eb91cfa-4f8b-4df5-acb7-2f3434fa283f,Consumer Staples,2018-10-01,1071,502
MGM,4eca36dd-edaf-4d57-a0cd-5ddce8c27679,Consumer Discretionary,2018-10-01,1071,497
URI,4f34a08c-9bdd-484a-8601-f9c583fee6a0,Industrials,2018-10-01,1071,502
FDX,4f42e4ef-1f4c-4c7f-9a92-6a25c999031d,Industrials,2018-10-01,1071,502
CVS,4f4530c8-5ba0-4b16-86ec-b0ce753c5ac8,Health Care,2018-10-01,1071,502
V,4f5baf1e-0e9b-4d85-b88a-d874dc4a3c42,Financials,2018-10-01,1071,502
REGN,5098a4d2-0917-4184-862c-17dbefde2ed4,Health Care,2018-10-01,1071,502
MTD,51fa61cb-6769-4e6e-b721-69348ce359f5,Health Care,2018-10-01,1071,502
ZTS,5344140c-ca01-4435-8a4a-217d4496bd35,Health Care,2018-10-01,1071,502
ALGN,53833666-cd3e-442c-8d59-3c4af8ce7aa4,Health Care,2018-10-01,1071,502
DASH,5453d1f0-0efc-4738-b1b1-d330e5910e2f,Consumer Discretionary,2022-09-08,80,502
HII,54ec2f34-daa8-4f4c-a572-e53f2ebfcf12,Industrials,2018-10-01,193,0
USB,5553e8c9-004d-479d-a18c-83a42a87ed10,Financials,2018-10-01,1071,502
CDW,55ed1ba5-6299-42a2-809a-50f8a4bd354b,Information Technology,2018-10-01,1071,502
APD,57ca9916-468b-4c77-8be7-2495a7c17df2,Materials,2018-10-01,1071,502
COF,58173a3c-c7e1-4150-b48f-1af063a88e26,Financials,2018-10-01,1071,502
CHTR,596b0016-1d8d-4e2e-9ab3-bfe7514b6be8,Communication,2018-10-01,1071,502
SO,5a71649b-e578-4229-81a3-d3a5c1351dd7,Utilities,2018-10-01,1071,502
ARE,5a7450bd-6796-4631-845e-d3facc79ff1a,Real Estate,2018-10-01,1071,326
HUM,5acb47e5-91b2-4c34-becd-a320436890d7,Health Care,2018-10-01,1071,502
GPC,5ae07a68-48de-4b8e-8105-e50c47689464,Consumer Discretionary,2018-10-01,345,388
PSKY,5b47111b-5e0d-4adc-929c-3efae02f747e,Communication,,0,0
KMB,5ca2cc07-2657-4769-9491-1c89b5f58a76,Consumer Staples,2018-10-01,1071,502
CMCSA,5ddc1e60-daca-45da-b2de-f3ee597e60bc,Communication,2018-10-01,1071,502
PSA,5df9640c-c98a-4bd8-b5c5-2f2afc8a8a26,Real Estate,2018-10-01,1071,502
ODFL,5e255d55-471d-45fc-ad7a-65c904018bf2,Industrials,2018-10-01,1071,502
ESS,5f9faccc-f650-4021-9310-e44eba191dc2,Real Estate,2018-10-01,798,63
LVS,612794e4-dbcc-4814-8ea2-3aa1e47523e3,Consumer Discretionary,2018-10-01,1071,502
JKHY,61d66f82-8daa-40f2-b912-087ff4fff2f5,Financials,2020-12-18,57,0
CTAS,61f340d1-ed59-405d-ad94-8f2ec9d470ea,Industrials,2018-10-01,1071,502
MNST,63595036-ec71-4cd5-9979-4997252d23f6,Consumer Staples,2018-10-01,1071,502
CINF,636ebb91-c67d-4ba7-87f6-526aa99c8446,Financials,,0,0
MPC,639306f2-59d8-46e0-95e7-0fe917d34f13,Energy,2018-10-01,1071,502
ECHO,644a3939-7c9d-495e-8fcd-2399ca5f1507,Communication,,0,0
BNY,64d27c2a-18a1-4848-b205-73b5d428d5f9,Financials,,0,0
NVR,6521415f-8f5c-48be-ab46-c854cd21c7b7,Consumer Discretionary,2018-10-01,762,268
FERG,655e865c-be38-4f97-9a85-72135ca8a984,Industrials,2023-09-01,0,335
AJG,661531e0-6ce1-4238-b3d7-7247ddf8a99c,Financials,2018-10-01,868,502
CASY,661997db-e507-415e-9f06-c4c2d9d4227b,Consumer Staples,,0,0
AME,6642e128-03ee-4bc9-bd3f-8f49424480d7,Industrials,2018-10-01,1071,502
PCG,664ebe22-dc75-49a3-b36b-e524f9ef167d,Utilities,2018-10-01,884,502
CNC,67956c95-90f3-4316-8dcf-56f8aa497dcb,Health Care,2018-10-01,1071,502
GOOGL,69b15845-7c63-4586-b274-1cfdfe9df3d8,Communication,2018-10-01,1071,502
LMT,6ae1929e-adcd-4de1-9647-25763c8a4548,Industrials,2018-10-01,1071,502
AON,6c21ef75-b953-4434-8119-501a26656625,Financials,2018-10-01,1071,502
MOS,6c285ed0-024c-47f7-9e2a-8fb08e6913ac,Materials,2018-10-01,730,376
TSCO,6c288372-d98d-496a-b32f-56b65e485246,Consumer Discretionary,2018-10-01,1071,502
SOLV,6c9b4d50-29ea-449a-ad71-1c0c4c3be48e,Health Care,,0,0
ADP,6ca2e51d-21df-4ff0-a134-abfdbe084142,Industrials,2018-10-01,1071,502
DECK,6d2708a3-edb1-46c6-858b-22b4cccea11d,Consumer Discretionary,2018-10-31,249,434
PPG,6d4f3b18-4f02-4a06-9d3d-9dadcc9bce1b,Materials,2018-10-01,1071,502
INVH,6d7aa93c-9c8a-414d-a1ed-4ba7154fdd11,Real Estate,2020-03-03,715,38
ACN,6eace613-5882-4eca-8635-d1c41ee9e260,Information Technology,2018-10-01,1071,502
RDDT,6f35d70d-d7cb-48ce-8d2e-be0c7775228e,Communication,,0,0
APA,6f825c9d-e839-4539-a64e-cfa7fd71015b,Energy,2018-10-01,872,502
HWM,6f9bf0b0-4114-495f-87e4-720b2db3772a,Industrials,2023-11-30,0,273
COP,705363ac-b8c6-4d0e-9c9b-a343f3103de6,Energy,2018-10-01,1071,502
MDLZ,705ec4dc-73b9-42fc-8b17-d4e13c31cfae,Consumer Staples,2018-10-01,1071,502
WDC,70cb03f3-2184-4a3a-b04c-ad5ff9524612,Information Technology,2018-10-01,1071,502
AWK,70d6a48c-21e2-4b31-a66a-9a993fa1509c,Utilities,2018-10-01,1071,428
RJF,713c63c2-aa51-449b-bc1d-cb5ef9a7d4ff,Financials,2018-10-01,386,145
BRK.B,71bb19d0-6c5f-4881-9552-33224badd810,Financials,2018-10-01,1071,502
TMO,722b2e6d-2b85-4502-8f72-55f199fb3c47,Health Care,2018-10-01,1071,502
MRVL,723c21be-11af-4450-9b64-20346a6905fc,Information Technology,2018-10-01,1071,502
DD,72b0cd73-1037-413e-a43c-12d68c760d9e,Industrials,2020-04-09,688,502
MCK,73706fa6-f7b8-4919-9381-ff7377a56726,Health Care,2018-10-01,1071,502
TSN,73caedb2-6646-4666-8891-88b9718bd235,Consumer Staples,2018-10-01,1071,375
