symbol,security_id,sector,first_eligible,train_eligible_sessions,development_eligible_sessions
GDDY,0099ffac-ca5b-4117-b050-5390af24619c,Information Technology,2018-10-01,590,136
FAST,009c65c9-8abe-49b9-b481-dfeecb67d116,Industrials,2018-10-01,1071,502
MET,00e5cd6a-c370-4d72-86d2-fef5353aa17a,Financials,2018-10-01,1071,502
GE,0116ac5c-90bc-47a2-8bb4-0f4551521dc6,Industrials,2018-10-01,1071,502
NRG,0181e333-c29a-4f7f-94f4-64884b17934a,Utilities,2018-10-01,754,469
TPL,02b051d5-7b50-4bb6-bad3-fa3087ced9af,Energy,,0,0
NOC,02deac19-d59b-4b15-ae55-a375e182bffd,Industrials,2018-10-01,1071,502
HPE,03a4498a-78b3-4043-8dcb-2c3cf4dc352e,Information Technology,2018-10-01,1071,502
AMD,03fb07bb-5db1-4077-8dea-5d711b272625,Information Technology,2018-10-01,1071,502
CPT,0403279d-6ac7-47d1-9a60-fda5acaf2437,Real Estate,2022-05-18,157,43
WDAY,04f7d8b3-3c40-4e19-ab08-aff850458676,Information Technology,2018-10-01,1071,502
EG,0501755f-b8e9-4846-97ff-abbb8c8e67fe,Financials,,0,0
BAC,061588a3-d70b-4b9c-a3f6-636aaa16acc4,Financials,2018-10-01,1071,502
GS,064dd45f-7a58-452c-93f2-377f9a0cc7f2,Financials,2018-10-01,1071,502
CNP,0666dd39-e7df-4e09-90e6-bd1a2b42a3c1,Utilities,2018-10-01,883,277
HLT,072e0811-8f84-4acc-bc3b-95761ea08dd6,Consumer Discretionary,2018-10-01,1071,502
PNC,07c40f17-3f00-4792-9262-9fc21c73e9b4,Financials,2018-10-01,1071,502
SYY,090b7913-4370-43eb-a42c-9af8400bc09d,Consumer Staples,2018-10-01,1071,502
FFIV,09192535-21d6-42cf-903d-4abd88f91cad,Information Technology,2018-10-01,694,0
ABBV,09a51104-980a-47b6-ad4d-e4f04059be4a,Health Care,2018-10-01,1071,502
STE,0a0f4996-3d85-43da-8305-4d208a75d7b4,Health Care,2020-09-30,159,0
SBUX,0a7deac5-2d75-4e54-9f66-51c1c6fad55b,Consumer Discretionary,2018-10-01,1071,502
OTIS,0af9c045-b1d4-4f26-9847-cf5c6f5984af,Industrials,2021-12-30,253,502
UHS,0bab489e-f374-4a62-afe4-8301dbb231e3,Health Care,2018-10-01,414,0
LDOS,0baeabb2-12ac-4751-af09-fcb671f498a7,Industrials,2018-10-01,375,0
VMRK,0c8a4de1-d60c-48e5-836d-8b189a005f16,Real Estate,,0,0
TFC,0c90392a-7b74-440f-a0a1-125bee898a51,Financials,2021-09-07,333,502
ED,0cbb12ec-7e81-4329-beb1-2a35271272dc,Utilities,2018-10-01,1071,502
INTC,0cf42aa3-9816-4f1f-aa84-6482ac9303e9,Information Technology,2018-10-01,1071,502
EME,0cf9d955-34f7-4d17-8286-29a0aecac17f,Industrials,,0,0
MRK,0d56791f-7395-40fa-853b-7b852bd9a7bf,Health Care,2018-10-01,1071,502
XOM,0dd35bf7-a49c-4068-bce0-8e40b700454d,Energy,2018-10-01,1071,502
BIIB,0ebf2aad-3ac3-4274-9710-d4aaf455636f,Health Care,2018-10-01,884,315
NOW,0ec9e18b-6dc2-43f7-a956-8d07bac7c08b,Information Technology,2018-10-01,1071,502
MSCI,0ef68826-b0f7-45b8-b273-8251f7133f0a,Financials,2018-10-01,1071,502
ANET,0f1e6e45-a44d-4e3e-a53a-ffbdf25eb283,Information Technology,2018-10-01,1071,502
SBAC,0f875f59-4ac8-4061-bac4-f053f20ff91a,Real Estate,2018-10-01,1071,502
EW,0ffbf7a5-d5ed-4e83-8499-2d58645e4d9c,Health Care,2018-10-01,1071,502
EBAY,10b35642-7d26-47d1-8987-4f7a7632d273,Consumer Discretionary,2018-10-01,1071,502
SPGI,10f7d07f-0811-42bf-a780-b4d4cb53eb91,Financials,2018-10-01,1071,502
DDOG,113d6f5b-a48f-4d20-a63f-79ea0bc88ebd,Information Technology,2021-06-17,389,502
TJX,1168e42c-a598-4ed9-8371-2033a0f6af54,Consumer Discretionary,2018-10-01,1071,502
OXY,11833dec-6549-48bf-ae48-17a25c3a9788,Energy,2018-10-01,1071,502
NI,11c19425-9801-44b2-aabb-b1871d1aaef9,Utilities,2018-10-01,544,47
BEN,12344127-983c-4142-b3cf-97bc15a8ba70,Financials,2018-10-01,415,0
AES,13488509-3dd7-4e28-9ede-1531dc353354,Utilities,2018-10-01,848,265
ES,136a3d7c-55a4-44c6-83d7-100ceab822f4,Utilities,2018-10-01,1071,362
HAL,14a06c29-cc38-444d-ab21-90198dc0fa18,Energy,2018-10-01,884,502
WM,15110ac1-3d55-4832-bb54-f59ed4abeed1,Industrials,2018-10-01,1071,502
XEL,152daa56-fc67-4627-b283-89405b4360fb,Utilities,2018-10-01,1071,502
MLM,154033d6-32bc-43e0-8344-9a07e54e7c32,Materials,2018-10-01,1071,502
CI,16af176c-d616-41d8-8a5a-b40c326e050e,Health Care,2018-10-01,1071,502
KKR,17f819cf-891b-478e-9ea3-cb23166c1479,Financials,2019-03-25,952,502
CVX,186997ab-b63c-439b-bf62-72275d1c4c27,Energy,2018-10-01,1071,502
CBRE,19020a7c-7741-401b-8422-37ad25d044b7,Real Estate,2019-12-16,767,502
CFG,199cb7ce-8ed9-4d04-8270-a1ad319d5a6b,Financials,2018-10-01,1071,502
RF,19abae8d-4f7b-402f-8d36-6418b3c79544,Financials,2018-10-01,1071,502
AMCR,1ad07ad8-1956-4a2c-ba59-e1e7c84c3cce,Materials,,0,0
HSIC,1bb0e1f2-1967-4b8d-8f98-30af6505cc6a,Health Care,2018-10-01,262,0
MS,1c2f8701-b8cb-40b6-902a-1e9a6a0c7bcf,Financials,2018-10-01,1071,502
CTSH,1c7f101c-4c08-46e9-9f79-60ca13c07e51,Information Technology,2018-10-01,1071,502
SYK,1c8746ac-5a25-4456-95e1-970ae6ade43c,Health Care,2018-10-01,1071,502
NWSA,1c91c0bd-8d13-40ef-9dd4-73593564f4af,Communication,,0,0
AIG,1ca76fea-6487-4cde-a341-07517b3286a0,Financials,2018-10-01,1071,502
UDR,1ddc7d72-9114-4d94-a1ea-ee530c12b163,Real Estate,2019-04-22,68,0
F,1e80b378-a5e3-4727-96bf-9c64fdd4e7e2,Consumer Discretionary,2018-10-01,843,502
SW,1ec7fc10-f3bb-4084-bc31-6ffb733139c6,Materials,,0,0
MU,1ef18995-5094-4f62-a5c5-e00168611152,Information Technology,2018-10-01,1071,502
COIN,1f3f7283-250d-4477-8b1e-037df55e5046,Financials,2023-01-10,0,497
OMC,1f80b3e7-c5a9-41c1-90e8-454620f6c568,Communication,2018-10-01,988,116
SCHW,1f868250-6f1d-4a57-9cd0-ac3f581a96e5,Financials,2018-10-01,1071,502
COST,1f888138-e413-4939-b16b-bdd08bb4debd,Consumer Staples,2018-10-01,1071,502
EFX,1fa4e2fb-538e-4ed6-b548-f2c591f1fb5d,Industrials,2018-10-01,1071,502
MDT,1fc2849e-26d5-4f49-add6-2f913ded54c9,Health Care,2018-10-01,1071,502
AMGN,201b268b-cde8-4010-9fe3-41d2ac7f1e9c,Health Care,2018-10-01,1071,502
MA,2140998d-7f62-46f2-a9b2-e44350bd4807,Financials,2018-10-01,1071,502
FISV,215f4297-91ff-4226-a690-c9add0ffc9ac,Financials,2018-10-01,1071,107
MRSH,219700d3-c988-4d18-b38d-6a3be1156833,Financials,,0,0
EXC,21a5e17d-c566-4f1b-8c25-0a505ba37478,Utilities,2018-10-01,1071,502
FOXA,21b45a5d-50c2-46be-bbae-02f5f23f7453,Communication,2018-10-01,927,32
IBM,21d40833-6d13-4031-9af3-02f6a516d791,Information Technology,2018-10-01,1071,502
L,225a5e8a-938e-4a95-8bcb-3989a3df618d,Financials,2018-10-01,82,0
EVRG,23b6465e-8a20-4fd8-96f9-95d1e0647fa2,Utilities,2020-03-04,286,0
ROP,23e965be-de5f-44cd-8e2c-b4fbbea0ec9c,Information Technology,2018-10-01,1071,502
GD,2430989b-3b12-4bff-9927-870040f8122a,Industrials,2018-10-01,1071,502
CB,2453845c-4785-46de-b332-6ee2438da196,Financials,2018-10-01,1071,502
PTC,24a89c84-6175-465b-ac54-789c3fd8a47b,Information Technology,2018-10-01,255,32
PYPL,24cbba8c-831b-44e2-8503-dd0c2ed7af8f,Financials,2018-10-01,1071,502
CSGP,2506e58c-1f7c-42a5-9bb9-cd0fd6645fd0,Real Estate,2018-10-01,1071,502
AFL,25335910-dc9d-45fe-bc65-dc6b0ff5e2f4,Financials,2018-10-01,1071,502
FRT,25f9fcbe-adbc-4d6d-85a0-e322b3c93889,Real Estate,,0,0
CRWD,26226278-b62c-47ec-a1bd-cf0dbd14b420,Information Technology,2021-03-10,458,502
BSX,2652a688-e44c-469e-92f8-8ece2594d4c0,Health Care,2018-10-01,1071,502
ELV,267f9ea7-eb9a-41cd-946f-5fab57943f0a,Health Care,2024-03-27,0,193
ORCL,27982558-2464-4daf-bb2f-b3b728659884,Information Technology,2018-10-01,1071,502
WSM,2820b0fc-1249-44d4-b749-18378cec217c,Consumer Discretionary,2018-10-01,798,502
AXON,28d765e8-8085-4716-bde2-de0182b644e5,Industrials,2023-10-16,0,5
PCAR,29e34616-a842-4a30-908c-32eddd0c7e23,Industrials,2018-10-01,1071,502
ADBE,2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4,Information Technology,2018-10-01,1071,502
CIEN,2ada15fb-1cf1-4241-a97b-0837322da8d6,Information Technology,2019-07-15,170,0
GPN,2ae65e45-78f1-448b-b33d-08220c03f317,Financials,2018-10-01,1071,502
FTNT,2b7d41ee-36a4-4c7e-b783-896568c61ed0,Information Technology,2018-10-01,1071,502
DAL,2cba3bdd-3f2a-4212-b64c-7bff33ad0f39,Industrials,2018-10-01,1071,502
T,2d6ed211-6d9b-46d9-b9d5-d3f8b453fd9a,Communication,2018-10-01,1071,502
IRM,2da35038-7511-48aa-81cf-3f6c377f7c09,Real Estate,2019-08-21,116,0
ULTA,2e3d3b75-58cc-40f5-bf12-b73da8aac3d3,Consumer Discretionary,2018-10-01,1071,502
TDG,2e65dd16-9fd7-42c7-aa0f-bd7950f028be,Industrials,2018-10-01,1071,502
PPL,2ebe177b-c523-4c1f-9276-8f0759a67a52,Utilities,2018-10-01,1071,502
DG,2edb3ef9-b5d8-4667-be8f-334884498ac9,Consumer Staples,2018-10-01,1071,502
WTW,2f1bca3b-ed44-4246-ade0-f90c9ad52790,Financials,2018-10-01,167,272
DIS,2f34c0b3-a4aa-4959-b52c-3c41b2c246c4,Communication,2018-10-01,1071,502
ALLE,2f630203-b16e-463e-95a9-9f2a585138c4,Industrials,,0,0
XYL,2f9e8a74-914c-4b63-90f0-577fd772da6f,Industrials,2018-10-01,401,291
DVA,31a9ec05-bf6a-4e77-8fbe-eafe432eab4a,Health Care,2018-10-01,603,0
LULU,31aa3cfa-8925-4cbc-98bc-74f411b7f17c,Consumer Discretionary,2018-10-01,1071,502
SNDK,325cea3c-527c-4075-8130-e5bbbe58a8a3,Information Technology,,0,0
PLD,32d00bae-5f6a-4712-9c18-3a007524fa3f,Real Estate,2018-10-01,1071,502
CPRT,3302e560-6d33-4ad5-a429-4d573e26962c,Industrials,2018-10-01,1071,502
VRTX,357a8404-f368-40a1-9356-3eb500f4f08a,Health Care,2018-10-01,1071,502
LITE,363b9094-c5ae-4899-bbc0-f94b27c87a6e,Information Technology,2018-10-01,468,0
C,36c8d04d-be51-476c-9382-0b6ea3bf1a26,Financials,2018-10-01,1071,502
APTV,372dd257-daba-4869-8495-a42fbe748204,Consumer Discretionary,2019-09-05,838,502
KO,3795cafe-fd54-4f66-a31e-66774be875ca,Consumer Staples,2018-10-01,1071,502
GL,37ecce71-4bf1-44ea-8157-2bc7f4aefb1c,Financials,,0,0
STT,38d1f1ae-38a3-49fc-bcb7-909d0011ef26,Financials,2018-10-01,1071,502
IDXX,3988b92e-b5ee-449e-a83a-a04bbdf18cff,Health Care,2018-10-01,1071,502
ITW,399a368e-f430-4a40-bd27-a046ea7bc0d9,Industrials,2018-10-01,1071,502
QCOM,39be1334-06b6-4df2-a2f1-b21b942628d0,Information Technology,2018-10-01,1071,502
