experiment,status,reason,eligible,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_daily_net,train_average_abs_daily_beta,train_maximum_rebalance_net,train_maximum_rebalance_beta,train_maximum_rebalance_sector,train_worst_calendar_year_return,train_average_eligible_names,train_neutrality_failures,development_sessions,development_total_return,development_cagr,development_annual_volatility,development_sharpe,development_max_drawdown,development_positive_day_rate,development_status,development_gross_sharpe,development_gross_cagr,development_total_transaction_cost,development_total_borrow_cost,development_annual_turnover,development_average_gross,development_average_abs_daily_net,development_average_abs_daily_beta,development_maximum_rebalance_net,development_maximum_rebalance_beta,development_maximum_rebalance_sector,development_worst_calendar_year_return,development_average_eligible_names,development_neutrality_failures,robust_sharpe,worst_calendar_year,train_reason,development_reason
X00,REFERENCE_ONLY,OK,False,1259.0,-0.037094730175037505,-0.007537502650564187,0.016873745710555988,-0.4399661540955339,-0.05746422561634357,0.443208895949166,COMPLETED,0.25703143351031044,0.004202287811621241,0.03503439927611366,0.023715644237824133,19.96584670808575,0.3161262048964,0.0005589082295629907,0.002507949404683164,2.095545958979983e-15,2.4338170367954604e-15,4.531965080989409e-16,-0.013810931432327589,237.28571428571428,0.0,502.0,-0.008663112601185463,-0.004358235339526173,0.010688926034474338,-0.4032876963466805,-0.013528288970964364,0.4641434262948207,COMPLETED,0.7531036368214432,0.007996547885776417,0.014654123475062477,0.009912378692804452,20.95816816900395,0.3295775129440855,0.0004001917371290095,0.0024529990670012413,2.0365653607967715e-15,2.0469737016526324e-15,5.386316392907986e-16,-0.006282313882676527,250.0,0.0,-0.4399661540955339,-0.013810931432327589,,
X04,COMPLETED,OK,False,1259.0,0.0064641023702625144,0.0012905154896405424,0.010025856959561198,0.1336371958328301,-0.024185859381437247,0.4233518665607625,COMPLETED,0.7403643586868437,0.0074111822776261604,0.018801752642655614,0.011646202931286535,10.708499236918179,0.1553900949690054,0.0004697878662049264,0.002146443524165778,4.8867160318266656e-15,5.6690763194922056e-15,7.533036694429285e-16,-0.012790561571771386,154.14285714285714,0.0,502.0,-0.00467852146290082,-0.002351322932793831,0.006660010494516828,-0.35014140304916125,-0.012687377178089876,0.4760956175298805,COMPLETED,0.7251138933733772,0.004814767858194013,0.008778053951011722,0.005479749720901277,12.549801298804768,0.1821789501626582,0.0003927357051783662,0.002544010559970089,1.366962099069724e-15,1.5230872119076366e-15,2.7945310995813877e-16,-0.005856622941023182,182.75247524752476,0.0,-0.35014140304916125,-0.012790561571771386,,
X05,COMPLETED,OK,False,1259.0,0.003047449297581384,0.0006092319238595323,0.009962600721680651,0.06610278038581688,-0.028978033855100227,0.414614773629865,COMPLETED,0.6372292163279978,0.006329347076919234,0.018817283459964473,0.009663078192306905,10.708499236918183,0.1289085806377976,0.0004611609332449161,0.0022099719514810812,1.4016565685892601e-15,1.5291587440735555e-15,4.2197148553135833e-16,-0.013944745767119127,92.5079365079365,0.0,502.0,-0.005633057267369845,-0.00283172741303106,0.0067798614228739935,-0.41487416755346995,-0.012314975665544958,0.49203187250996017,COMPLETED,0.573521141836565,0.003872433490136329,0.008783959221382897,0.004564273667678748,12.549801298804772,0.1516033941879698,0.000417431655502473,0.0028103747756858875,1.1718057080223332e-15,1.4224732503009818e-15,3.174543961037557e-16,-0.005133535669648137,109.51485148514851,0.0,-0.41487416755346995,-0.013944745767119127,,
X02,COMPLETED,OK,False,1259.0,-0.048400195208975316,-0.009880882226468879,0.010781817135570141,-0.9155973021695075,-0.049727283106019815,0.36854646544876885,COMPLETED,-0.11579536347080936,-0.0013044366193528667,0.03136544609747007,0.011722499982974588,17.864178633550416,0.15603114293522588,0.00033374322155425417,0.0020893113712020113,3.191891195797325e-15,3.4555691641457997e-15,5.453265877058966e-16,-0.02154129759052792,154.28809523809525,0.0,502.0,-0.0029561213767292926,-0.0014850433060725754,0.0068610969068394955,-0.2131806098723128,-0.007767918324134926,0.46215139442231074,COMPLETED,1.266173030748614,0.008671482835545863,0.014658952698610204,0.005501188837268424,20.958168169003958,0.18241782436766113,0.000268860835690175,0.0023797928316200193,2.127638343285554e-15,2.4251434194155763e-15,6.227657278756737e-16,-0.0018185315722356599,182.77844311377245,0.0,-0.9155973021695075,-0.02154129759052792,,
X03,COMPLETED,OK,False,1259.0,-0.043517795635477974,-0.008866148878405755,0.009664477405081572,-0.91664540153898,-0.0452008733682816,0.3907863383637808,COMPLETED,-0.06611312285618955,-0.0006842955295152109,0.03139187265790582,0.009679825670235136,17.864178633550424,0.12918311856518638,0.0003206732608038358,0.0021575190008387385,4.851154200569141e-15,5.8364771349239675e-15,7.886486602659559e-16,-0.01869218118166982,92.57142857142857,0.0,502.0,-0.005015419972472679,-0.0025208530166126453,0.007021969994698062,-0.3559424542072917,-0.00836351526349377,0.4900398406374502,COMPLETED,1.0222784743817124,0.007167090159704292,0.014668841989632156,0.004585583084604711,20.958168169003972,0.1517884533316916,0.0002784424157549277,0.0026553964590911687,1.3895135042574225e-15,1.6150275561344074e-15,4.115631446754975e-16,-0.002523881326819799,109.51497005988024,0.0,-0.91664540153898,-0.01869218118166982,,
X01,INVALID,MISSING_HELD_RETURN,False,,,,,,,,INVALID,,,,,,,,,,,,,,,,,,,,,,INVALID,,,,,,,,,,,,,,,,,MISSING_HELD_RETURN,MISSING_HELD_RETURN
X06,INVALID,MISSING_HELD_RETURN,False,,,,,,,,INVALID,,,,,,,,,,,,,,,,,,,,,,INVALID,,,,,,,,,,,,,,,,,MISSING_HELD_RETURN,MISSING_HELD_RETURN
X07,INVALID,MISSING_HELD_RETURN,False,,,,,,,,INVALID,,,,,,,,,,,,,,,,,,,,,,INVALID,,,,,,,,,,,,,,,,,MISSING_HELD_RETURN,MISSING_HELD_RETURN
X08,INVALID,MISSING_HELD_RETURN,False,,,,,,,,INVALID,,,,,,,,,,,,,,,,,,,,,,INVALID,,,,,,,,,,,,,,,,,MISSING_HELD_RETURN,MISSING_HELD_RETURN
