experiment,constraint_regime,selectable,eligible,status,reason,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_annual_turnover,train_annual_transaction_cost,train_annual_borrow_cost,train_maximum_abs_net,train_maximum_net_budget_ratio,train_maximum_factor_budget_ratio,train_maximum_sleeve_budget_ratio,train_average_gross,train_average_eligible_assets,train_worst_calendar_year_return,validation_sessions,validation_total_return,validation_cagr,validation_annual_volatility,validation_sharpe,validation_max_drawdown,validation_positive_day_rate,validation_status,validation_gross_sharpe,validation_gross_cagr,validation_annual_turnover,validation_annual_transaction_cost,validation_annual_borrow_cost,validation_maximum_abs_net,validation_maximum_net_budget_ratio,validation_maximum_factor_budget_ratio,validation_maximum_sleeve_budget_ratio,validation_average_gross,validation_average_eligible_assets,validation_worst_calendar_year_return,robust_sharpe
B03,loose,True,False,COMPLETED,OK,2267,0.8053538953822534,0.06787274485085248,0.0969108619132805,0.7261238108074328,-0.15234304351572336,0.5319805910895457,COMPLETED,0.7832107543135532,0.07379738893800103,7.872672334986488,0.001631005040690562,0.003903395800578806,0.6000000000182152,1.0000000000303586,1.000000000058063,1.0,0.9938989878114114,18.922737306843267,-0.06079395651781705,1007,0.22254314776373674,0.051568851392362225,0.08441006990098451,0.6379380713571943,-0.1643319590806448,0.5134061569016882,COMPLETED,0.7044893567046345,0.05749016149914499,7.303844016971888,0.0015231015759065364,0.004092949107163439,0.5000000000067142,0.8333333333445236,1.0000000000870797,1.0,0.9997919963040488,19.0,-0.09405830122083725,0.6379380713571943
B02,medium,True,False,COMPLETED,OK,2267,0.6198562790043916,0.05508009992160745,0.09302413775983477,0.6229061629571924,-0.151383843950207,0.529333921482135,COMPLETED,0.6874386135536393,0.06143260705249065,7.89459292208429,0.0016328966411703167,0.004371333384315834,0.3500000000442401,1.0000000001264002,1.0000000002517464,1.0000000001088065,0.9923932711332742,18.922737306843267,-0.08528211188663704,1007,0.09949650953100053,0.024020593601536966,0.07682579601083968,0.3473620449130546,-0.14816916386334944,0.506454816285998,COMPLETED,0.4281449347993881,0.03039393912517685,7.677520051452466,0.0015924307403995055,0.004612487843399843,0.3500000000055537,1.0000000000158678,1.0000000002522695,1.0000000000500386,1.0000795517834926,19.0,-0.06756326829955106,0.3473620449130546
B01,tight,True,False,COMPLETED,OK,2267,0.2947567014972976,0.029131450537513093,0.068015031358918,0.4561917084999946,-0.110249998644385,0.5196294662549625,COMPLETED,0.5409544047441729,0.03508509060779241,6.654295882466533,0.0013756261117934313,0.004394053582939761,0.10000000003862591,1.000000000386259,1.0000000006210867,1.0000000002759744,0.914716811220731,18.922737306843267,-0.04823792382964609,1007,-0.19109824032549338,-0.051688364946074206,0.05644988830166975,-0.9118204560525849,-0.20061964086400275,0.5094339622641509,COMPLETED,-0.8057871815131216,-0.04599419039101227,6.854487408738054,0.0014147477673104763,0.0045706187410722585,0.10000000003121015,1.0000000003121015,1.0000000007360932,1.0000000003596803,0.9415178361469665,19.0,-0.09521514160725741,-0.9118204560525849
B00,exact,False,False,COMPLETED,OK,2267,-0.0572476149756419,-0.006531644051379959,0.01453132167371351,-0.4436931747599796,-0.08270820916625199,0.4918394353771504,COMPLETED,-0.21181095390945193,-0.0031807477018336305,2.567962786013819,0.0005196332865854992,0.0028477037143575918,1.0005191120043833e-13,0.0,0.0,0.0,0.5688067592352647,18.922737306843267,-0.02752676608915694,1007,-0.029204246858073102,-0.007389714022019156,0.01030495106453759,-0.7146069414758534,-0.042773146152467856,0.47070506454816285,COMPLETED,-0.39933307974058535,-0.004159272635935518,2.0510239322764856,0.00041283203380617424,0.002836292975142255,4.4938879006917176e-14,0.0,0.0,0.0,0.5658832304409013,19.0,-0.017075900446561598,
