session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2015-04-08,-0.0006496234038248284,0.0,7.773390106666376e-06,-0.0006573967939314947,0.5673912632404291,-6.621454621642472e-05,0.0
2015-04-09,-0.001265199513915652,0.0,7.783691077347708e-06,-0.0012729832049929997,0.5674931397972005,-0.0007163088491821991,0.0
2015-04-10,0.0002897864738705488,1.0233879155482424e-06,7.731286583460031e-06,0.0002810317993715405,0.5643839205925825,3.8163916471489756e-17,0.005109951358105633
2015-04-13,0.0005104584594526532,0.0,2.3194802434420406e-05,0.00048726365701823283,0.5646965642951004,0.00028970505753696946,0.0
2015-04-14,6.773625726606917e-05,0.0,7.71262817998202e-06,6.002362908608715e-05,0.5638216309549628,0.0007997738162751344,0.0
2015-04-15,3.797204007520392e-05,0.0,7.731595842808178e-06,3.0240444232395744e-05,0.5652739545305606,0.0008674580055636066,0.0
2015-04-16,0.00023433863822920284,0.0,7.752033821087085e-06,0.00022658660440811576,0.5668038716052173,0.0009054026658600056,0.0
2015-04-17,-0.0001392601219241703,1.5522516999440466e-06,7.711670920153882e-06,-0.00014852404454426823,0.5629519771712334,1.0061396160665481e-16,0.007740264249958101
2015-04-20,0.00027170918880123574,0.0,2.3107921988139177e-05,0.00024860126681309656,0.5621534875695804,-0.00013928080847304403,0.0
2015-04-21,-0.00012907476709583565,0.0,7.691542142970917e-06,-0.00013676630923880657,0.5616149719035244,0.00013239546664746762,0.0
2015-04-22,-0.00014060663417227685,0.0,7.691902066855359e-06,-0.00014829853623913222,0.5615121720342146,3.321153773574309e-06,0.0
2015-04-23,-0.00011765360054848486,0.0,7.675197615499128e-06,-0.00012532879816398398,0.560152120088782,-0.00013730584265421453,0.0
2015-04-24,0.00013134862314387243,6.908640618759038e-07,7.68627500827076e-06,0.00012297148407372578,0.5610980756037653,-1.3877787807814457e-17,0.0034491751515132426
2015-04-27,-0.0005628350110547282,0.0,2.3118523267172008e-05,-0.0005859535343219003,0.5626820653075137,0.00013133247299471074,0.0
2015-04-28,-0.00014541865959070906,0.0,7.708396698547699e-06,-0.00015312705628925676,0.5622812034672453,-0.0004317555267368753,0.0
2015-04-29,-0.0004738636974322243,0.0,7.687973237192325e-06,-0.00048155167066941663,0.5606447837341924,-0.0005772625808472855,0.0
2015-04-30,0.000611975788288371,0.0,7.661930564449014e-06,0.0006043138577239219,0.5582692985110179,-0.0010516326937600878,0.0
2015-05-01,0.0001951875728954532,9.288719690060282e-07,7.5917601756748895e-06,0.00018666694075077228,0.5541984928242669,-3.122502256758253e-17,0.004634316249475994
2015-05-04,0.00010334830408201289,0.0,2.2743990715904834e-05,8.060431336610806e-05,0.5536322585649792,0.0001951511446282722,0.0
2015-05-05,-0.000662381745623903,0.0,7.569593760831808e-06,-0.0006699513393847347,0.5528788199310285,0.0002984753903064012,0.0
2015-05-06,0.0002714586022638522,0.0,7.55366735452593e-06,0.0002639049349093263,0.5510535665620818,-0.0003641503183109823,0.0
2015-05-07,0.0006813283102385734,0.0,7.512866614969242e-06,0.0006738154436236041,0.5483465956320549,-9.266726069971642e-05,0.0
2015-05-08,0.00013360990759167456,8.099874871542507e-07,7.496587514682204e-06,0.0001253033325898381,0.547250888571801,6.938893903907228e-17,0.00404582271237726
2015-05-11,-0.0006495860347909316,0.0,2.266176222614789e-05,-0.0006722477970170795,0.5515698073375213,0.00013359316792260073,0.0
2015-05-12,0.0002570337541839031,0.0,7.506997303825531e-06,0.00024952675688007757,0.5474944632039845,-0.00051633997527923,0.0
2015-05-13,-0.00019570848926649706,0.0,7.5061932377294895e-06,-0.00020321468250422654,0.5476928648208566,-0.00025924153339624764,0.0
2015-05-14,0.00042211775491720515,0.0,7.502219683590726e-06,0.00041461553523361444,0.5472069944081444,-0.00045504249397870095,0.0
2015-05-15,0.0003010828813482501,1.4366765257028508e-05,7.108597513716906e-06,0.0002796075185775047,0.518927618501334,-1.1449174941446927e-16,0.07151939913322773
2015-05-18,-0.0004460743584142712,0.0,2.140961434424599e-05,-0.0004674839727585172,0.5212682810964954,0.00030099871984297366,0.0
2015-05-19,-0.0006261454451519979,0.0,7.120953890586318e-06,-0.0006332663990425842,0.5196844905219742,-0.00014514349082700786,0.0
2015-05-20,3.295571621447517e-05,0.0,7.100626264770209e-06,2.585508994970496e-05,0.517573939651376,-0.0007717776768493036,0.0
2015-05-21,0.0007111589537515058,0.0,7.106805110979258e-06,0.0007040521486405265,0.5180579702426653,-0.0007388028588204629,0.0
2015-05-22,-0.0006349868649829133,7.247693965674248e-07,7.099354605407208e-06,-0.000642810988984888,0.5182528861947263,1.214306433183765e-16,0.0036182862773958637
2015-05-26,0.0006445777235304376,0.0,2.8409886489767995e-05,0.0006161678370406697,0.5178450331341993,-0.000635395304066564,0.0
2015-05-27,0.0004238420909037205,0.0,7.074552990487246e-06,0.00041676753791323323,0.5164515450706054,9.176765036381096e-06,0.0
2015-05-28,-0.0002927794551533311,0.0,7.076322317010875e-06,-0.000299855777470342,0.5170043676047135,0.00043283846291959985,0.0
2015-05-29,5.1227032966427225e-05,0.0,7.072313584836842e-06,4.415471938159039e-05,0.5164189927109554,0.0001401010178658929,0.0
2015-06-01,3.421368036710042e-05,3.841945519437676e-06,2.097760694586575e-05,9.394127901796991e-06,0.5104551023494,7.806255641895632e-17,0.01915321947883139
2015-06-02,-0.0006974056237501838,0.0,6.979761601988546e-06,-0.0007043853853521723,0.5095568103041264,3.4213358962465606e-05,0.0
2015-06-03,-0.0007159239579928654,0.0,6.979255832333011e-06,-0.0007229032138251984,0.5088220160233025,-0.0006636597370072959,0.0
2015-06-04,0.0002720498490568856,0.0,6.95437180568127e-06,0.0002650954772512043,0.5062885600927688,-0.0013805817219639024,0.0
2015-06-05,-0.00044770712723733003,0.0,6.949761159304045e-06,-0.0004546568883966341,0.5062243265451921,-0.0011082380840032168,0.0
2015-06-08,-0.00037583371365592516,4.954122524234872e-05,2.040847133211836e-05,-0.00044578341023039224,0.4966061357482121,-1.2958384365546749e-15,0.24483257339066852
2015-06-09,0.000699634049797413,0.0,6.817536360701198e-06,0.0006928165134367118,0.49730415300237557,-0.0003760013288117772,0.0
2015-06-10,0.0004884520751525601,0.0,6.8010383204291855e-06,0.00048165103683213086,0.49679920604945726,0.00032340865812666153,0.0
2015-06-11,0.0007262989103935803,0.0,6.7931369414961846e-06,0.0007195057734520841,0.4967104666171878,0.0008114698879663294,0.0
2015-06-12,-0.00047625818330165805,0.0,6.7906132397741315e-06,-0.0004830487965414322,0.4972514296638558,0.0015366631603441882,0.0
2015-06-15,0.0006116685011676353,3.385993611890918e-05,1.8454718918989176e-05,0.0005593538461297369,0.44906482702873496,-1.6323747908941755e-15,0.16795096329001347
2015-06-16,-0.0005757461926806215,0.0,6.13810189617802e-06,-0.0005818842945767995,0.44869276497430255,0.0006113265533071646,0.0
2015-06-17,-0.00041379319359987384,0.0,6.173424635400934e-06,-0.0004199666182352748,0.45069559946060195,3.560107633370467e-05,0.0
2015-06-18,-0.0001876470042094371,0.0,6.183679013983662e-06,-0.00019383068322342074,0.4510302170087461,-0.00037835101206118785,0.0
2015-06-19,0.00027492849564883016,0.0,6.1922604931281516e-06,0.000268736235155702,0.4514689082530335,-0.0005661077453216513,0.0
2015-06-22,-0.0008159492277565422,1.083851049403953e-05,1.8478153960271806e-05,-0.0008452658922108535,0.4496350796999475,1.5959455978986625e-16,0.05391388289909425
2015-06-23,5.099547378168619e-05,0.0,6.165315523069464e-06,4.4830158258616724e-05,0.44925139367879446,-0.000816639505276438,0.0
2015-06-24,8.238598010723485e-05,0.0,6.161182069405755e-06,7.622479803782909e-05,0.4490006813575297,-0.0007656097090903459,0.0
2015-06-25,-1.3223117133792112e-05,0.0,6.162027553599911e-06,-1.9385144687392023e-05,0.44914483975843167,-0.0006831716543617364,0.0
2015-06-26,-0.000998473252572483,0.0,6.159253827640608e-06,-0.0010046325064001238,0.4489291211462937,-0.0006964082714706298,0.0
2015-06-29,0.0001533099964487472,1.576153634813623e-06,1.8566899869822966e-05,0.00013316694294411062,0.4517945634990253,-1.3530843112619095e-16,0.007863126869032585
2015-06-30,-0.0004765067196255111,0.0,6.1940824705506754e-06,-0.0004827008020960618,0.4523213099335427,0.00015328958334341093,0.0
2015-07-01,-0.0008167286485693743,0.0,6.219861398403167e-06,-0.0008229485099677774,0.45372650885463206,-0.00032337322879904054,0.0
2015-07-02,-8.398041111484961e-05,0.0,6.219040397852139e-06,-9.019945151270175e-05,0.45284890814793316,-0.0011410408952729698,0.0
2015-07-06,-0.0006366738522630468,0.0,2.493181519564125e-05,-0.0006616056674586882,0.45378049550784755,-0.0012251318126053675,0.0
2015-07-07,8.458209120615393e-05,5.0479207797939225e-05,7.117156154847568e-06,2.6985727253367137e-05,0.5195523993038724,8.673617379884035e-17,0.2486533001531452
2015-07-08,0.00026475946186541206,0.0,7.1255114897963095e-06,0.0002576339503756158,0.5202469185638894,8.457980875857876e-05,0.0
2015-07-09,-0.00014698285842131223,0.0,7.105126618809007e-06,-0.00015408798504012124,0.5190234924652067,0.0003492492921491723,0.0
2015-07-10,-0.00021559802425444644,0.0,7.087918560043191e-06,-0.00022268594281448962,0.5176203524885112,0.00020229760535828319,0.0
2015-07-13,0.0007230308961702369,0.0,2.1275370848466822e-05,0.0007017555253217701,0.5176873872646538,-1.3303381372179596e-05,0.0
2015-07-14,6.523095241182779e-05,7.489881245246892e-07,7.101061091293833e-06,5.738090319600926e-05,0.5183774596644499,1.0928757898653885e-16,0.003738761766672633
2015-07-15,0.0004427652723189037,0.0,7.111958799901554e-06,0.0004356533135190022,0.5192382196024292,6.522720961572859e-05,0.0
2015-07-16,0.0001600095815751208,0.0,7.111148605925388e-06,0.0001528984329691954,0.5196216195022517,0.0005077712696984534,0.0
2015-07-17,0.0012607740178833568,0.0,7.125109873317523e-06,0.0012536489080100393,0.5208006995164159,0.0006676787642368176,0.0
2015-07-20,0.0007984660893340502,0.0,2.1307260893306668e-05,0.0007771588284407435,0.5204027199435547,0.0019260382064258657,0.0
2015-07-21,0.000436221302993993,8.53596504033258e-07,7.102325377931275e-06,0.00042826538111202843,0.5184697525889832,1.3877787807814457e-17,0.0042639123599810145
2015-07-22,-0.00016307519366701143,0.0,7.099598023790617e-06,-0.00017017479169080204,0.5187066903012001,0.0004360345644850508,0.0
2015-07-23,0.0006993219847766694,0.0,7.094863938277689e-06,0.0006922271208383917,0.5181980733237994,0.0002730058295282254,0.0
2015-07-24,-5.516408192519058e-05,0.0,7.076053933473371e-06,-6.224013585866395e-05,0.5175235923517737,0.0009716552082176533,0.0
2015-07-27,0.00034675267417692,0.0,2.119743972792406e-05,0.0003255552344489959,0.516720914885194,0.0009165481723752353,0.0
2015-07-28,5.933539580254168e-05,1.6129658404139288e-05,6.9476229622343506e-06,3.6258114436168045e-05,0.507176476243108,6.123573870198129e-16,0.08014595540051234
2015-07-29,-0.00017512925325492592,0.0,6.950776925384296e-06,-0.00018208003018031023,0.5074660487975452,5.9333244491586654e-05,0.0
2015-07-30,0.0005997310440707917,0.0,6.963814246293843e-06,0.0005927672298244978,0.5082426228827067,-0.0001158170967438376,0.0
2015-07-31,-0.0010534257054250179,0.0,6.950547491620413e-06,-0.0010603762529166382,0.5078735941572206,0.00048362726893050323,0.0
2015-08-03,0.0004716508191339091,0.0,2.0976525356996997e-05,0.00045067429377691206,0.5098583804083413,-0.0005704032785857176,0.0
2015-08-04,0.00026328977952328326,1.5784163271338954e-06,6.936898715119975e-06,0.00025477446448102936,0.5063936062037582,-1.734723475976807e-17,0.007865254428144923
2015-08-05,0.0005815881861182625,0.0,6.9136442251145426e-06,0.0005746745418931479,0.5049592511504581,0.0002632227170964868,0.0
2015-08-06,-0.0003559282719654516,0.0,6.887937900565542e-06,-0.00036281620986601716,0.5036637924320198,0.0008443256907352138,0.0
2015-08-07,-0.00037636503053897346,0.0,6.8954070908361225e-06,-0.0003832604376298096,0.5038532923126209,0.0004885746815839771,0.0
2015-08-10,-6.892916862915154e-05,0.0,2.0752517861722885e-05,-8.968168649087442e-05,0.5050901873083103,0.00011225267305358701,0.0
2015-08-11,-0.00010850752211385243,4.064480554543268e-07,6.915194086435779e-06,-0.00011582916425574253,0.504809168309812,9.8879238130678e-17,0.0020287361655836056
2015-08-12,0.0005154709337741414,0.0,6.928178780492888e-06,0.0005085427549936485,0.5056485308840755,-0.00010852009190529324,0.0
2015-08-13,-0.00028218268797897535,0.0,6.909413116033662e-06,-0.000289092101095009,0.5047939014656142,0.00040674399515696485,0.0
2015-08-14,2.631643140190805e-06,0.0,6.899097393560803e-06,-4.267454253369998e-06,0.5037587070572198,0.00012459732728115243,0.0
2015-08-17,0.0002207854704646227,0.0,2.0707546229933277e-05,0.00020007792423468943,0.504010854441744,0.00012722951336748,0.0
2015-08-18,0.0003271218176372121,3.5121190241996294e-05,6.7211790576165255e-06,0.0002852794483375993,0.4906460712060012,-5.127842594987442e-15,0.17211050954547863
2015-08-19,-0.0009322913191791235,0.0,6.696318846680485e-06,-0.0009389876380258039,0.48915830433079077,0.000327028523115426,0.0
2015-08-20,-0.0011122806034242257,0.0,6.724236812386919e-06,-0.0011190048402366128,0.4902634556397377,-0.0006058316645073843,0.0
2015-08-21,-0.00044363554463671794,0.0,6.7478956332837755e-06,-0.0004503834402700017,0.4908763442320581,-0.0017200369976573433,0.0
2015-08-24,0.001616563426562227,0.0,2.0162950552664342e-05,0.0015964004760095627,0.48846714931783325,-0.0021646474636657156,0.0
2015-08-25,0.0005343415104643016,4.2028973866268556e-07,6.623960653318487e-06,0.0005272972600723205,0.48354912769224956,3.469446951953614e-18,0.0020968801993206665
2015-08-26,0.0008015850214478958,0.0,6.5897176744700645e-06,0.0007949953037734257,0.4815834501384558,0.0005340599021411742,0.0
2015-08-27,-0.00092041942604502,0.0,6.580110179028075e-06,-0.0009269995362240481,0.48168262700467723,0.0013345839356277561,0.0
2015-08-28,-0.00017475932579632763,0.0,6.647171034275723e-06,-0.00018140649683060336,0.48565803429825233,0.0004145487961245038,0.0
2015-08-31,-0.00022499223447977224,0.0,1.9996894778533618e-05,-0.00024498912925830586,0.4868309392552398,0.00023983297758843267,0.0
2015-09-01,0.00019453102941515685,1.0922921638211423e-06,6.640526778301968e-06,0.00018679821047303373,0.4847584548160438,1.7694179454963432e-16,0.005450893908866238
2015-09-02,0.0002962918531806828,0.0,6.600796214023888e-06,0.0002896910569666589,0.48205261832189755,0.00019449469815377082,0.0
2015-09-03,0.00022499060109228527,0.0,6.604690628357741e-06,0.00021838591046392753,0.48263306028615005,0.0004906444160349757,0.0
2015-09-04,0.0009152628462229922,0.0,6.606514457080653e-06,0.0009086563317659115,0.48299103413353306,0.0007154787666454297,0.0
2015-09-08,-3.8683647452215493e-05,0.0,2.6273439497690225e-05,-6.495708694990573e-05,0.4811195320072328,0.0016292611743861929,0.0
2015-09-09,0.0005119044648463338,3.700654173905218e-05,6.0484095940403826e-06,0.0004688495135132413,0.44153390036492474,-2.312386393477084e-14,0.18310759505110155
2015-09-10,-0.000146645063296623,0.0,6.0178544772557925e-06,-0.0001526629177738788,0.4398150414108108,0.0005116645711378993,0.0
2015-09-11,0.0001480903183137246,0.0,6.0303202282515025e-06,0.00014205999808547312,0.4405784519036526,0.00036507524129289134,0.0
2015-09-14,0.0004576465965250292,0.0,1.8108639820688527e-05,0.0004395379567043407,0.44115666163975026,0.0005130926696629359,0.0
2015-09-15,-0.00022328006137034762,0.0,6.025086067888849e-06,-0.00022930514743823647,0.44080159573277855,0.0009703127768926519,0.0
