date,symbol,adjusted_return
2017-05-12,TTD,0.301077964402106
2017-06-07,CVNA,0.32843651626442827
2017-09-26,AXON,-0.7389690721649484
2017-09-28,DXCM,-0.32661529342027273
2018-01-08,AXON,-0.5698324022346368
2018-05-01,PNR,-0.33378061053337804
2018-05-11,TTD,0.4339085909349518
2018-06-06,AXON,1.6
2018-08-02,DXCM,0.30637049455155085
2018-08-10,TTD,0.3709936756351162
2018-10-26,FLEX,-0.3501764112903226
2018-11-12,LITE,-0.3297587131367292
2018-11-13,EQT,-0.571536523929471
2018-11-15,PCG,-0.3065606361829025
2018-11-16,PCG,0.375
2019-01-14,PCG,-0.5236552920763446
2019-02-22,TTD,0.3136212624584718
2019-02-27,WTW,-0.34471243042671607
2019-04-03,WRB,-0.3285198555956679
2019-06-03,DD,-0.5715833462312335
2019-10-25,PCG,-0.3056379821958457
2019-10-29,PCG,0.32369477911646594
2020-01-14,SMCI,0.7252396166134187
2020-03-02,IR,-0.775737105059461
2020-03-09,APA,-0.5385624643468341
2020-03-09,DVN,-0.37400917813934076
2020-03-09,EOG,-0.3200872304337292
2020-03-09,FANG,-0.44648562300319494
2020-03-09,HAL,-0.3762639245929734
2020-03-09,OKE,-0.37765558610347416
2020-03-09,OXY,-0.5202646815550042
2020-03-09,TRGP,-0.5291461412151066
2020-03-12,RCL,-0.31778969456749817
2020-03-13,EQT,0.3732012997060188
2020-03-13,OXY,0.4319757365684578
2020-03-16,APA,-0.32343475716793446
2020-03-16,MGM,-0.33635774465327284
2020-03-18,APTV,-0.3054740957966764
2020-03-18,TRGP,-0.4299762093576527
2020-03-18,UAL,-0.30290185849364204
2020-03-19,OKE,0.35952888618133816
2020-03-19,TRGP,0.5548135781858654
2020-03-19,UBER,0.36554481839386854
2020-03-24,CVNA,0.4301675977653632
2020-03-24,DRI,0.313507178435394
2020-03-24,MGM,0.3310729519851252
2020-03-24,NCLH,0.4219234746639091
2020-04-01,CCL,-0.33171296296296304
2020-05-22,GEN,0.3506144935725384
2020-06-05,OXY,0.3370319001386963
2020-09-22,CVNA,0.3063633746040888
2020-10-22,ALGN,0.3496620112563653
2020-11-04,BIIB,0.44230847223912084
2020-11-09,CCL,0.3933823529411764
2020-11-09,FANG,0.30954825462012336
2020-11-09,FRT,0.32900852052672347
2020-11-09,HST,0.30129524270669417
2020-11-09,KIM,0.32213663341331
2020-11-09,REG,0.34955089820359286
2020-11-09,VLO,0.31168831168831157
2021-01-26,AXON,143.79508196721312
2021-03-03,GEN,-0.38095238095238093
2021-06-07,BIIB,0.38341371356678566
2021-08-04,HOOD,0.5040598290598293
2021-09-10,ECHO,0.5229885057471264
2022-01-10,WTW,11.201212789415656
2022-02-23,VRT,-0.36755646817248455
2022-03-24,WRB,-0.3329567280533273
2022-04-20,NFLX,-0.35111876075731496
2022-05-04,SMCI,0.31205181586860964
2022-05-12,APP,0.346774193548387
2022-06-09,META,13.950819672131148
2022-08-05,CVNA,0.40071556350626136
2022-08-10,TTD,0.3622018348623852
2022-09-08,COHR,-0.8375028172188416
2022-09-28,BIIB,0.398503463269124
2022-11-04,CVNA,-0.38954703832752613
2022-11-08,GEN,50.435963777490294
2022-11-10,CVNA,0.3162055335968379
2022-11-10,FICO,0.31099443405367655
2022-12-07,CVNA,-0.4292101341281669
2023-01-12,CVNA,0.45999999999999996
2023-02-01,CVNA,0.3333333333333335
2023-02-15,TTD,0.328125
2023-05-26,MRVL,0.32407596487645507
2023-06-08,CVNA,0.5602060528010304
2023-07-19,CVNA,0.40201005025125625
2024-01-19,SMCI,0.3596660244059089
2024-02-06,PLTR,0.30801435406698574
2024-02-22,SMCI,0.3286570416780168
2024-02-23,CVNA,0.32156488549618323
2024-03-01,DELL,0.3162168093043669
2024-03-04,DOC,0.5001565925461946
2024-03-25,RDDT,0.30000000000000004
2024-04-11,GL,-0.5314413451258626
2024-05-02,CVNA,0.3375430539609643
2024-07-11,WRB,-0.34338624338624335
2024-07-15,AVGO,-0.8992020511837439
2024-07-25,EW,-0.3133985048878666
2024-07-26,DXCM,-0.40658321743161796
2024-08-29,DG,-0.3214346134325833
2024-10-30,RDDT,0.41974553462197206
2024-10-30,SMCI,-0.3267508143322475
2024-11-06,COIN,0.3111466281707569
2024-11-07,APP,0.4626520320379708
2024-11-19,SMCI,0.3124419684308264
2025-02-13,TTD,-0.3297881043933568
2025-02-13,WST,-0.3821951980043654
2025-02-24,SNDK,-0.3620372801260173
2025-07-02,CNC,-0.40370697263901145
2025-07-31,ALGN,-0.3662622193839957
2025-08-08,TTD,-0.386052303860523
2025-08-13,PSKY,0.3677839851024207
2025-09-10,ORCL,0.3594973821989529
2025-09-10,SNPS,-0.3583731819911644
2026-03-20,SMCI,-0.33322507307567384
2026-05-06,FLEX,0.39688958009331254
2026-05-07,DDOG,0.31326977941688106
2026-05-21,BNY,12.625
2026-05-29,DELL,0.3275834833980984
2026-06-02,MRVL,0.325189169477619
2026-08-19,MRNA,1.7696950444726811
