symbol,security_id,sector,latest_raw_close,median_dollar_volume_60,coverage_60,valid_observations,shortable_at_capture,eligible,reasons,membership_available_at,scope,approved_weight
FTNT,2b7d41ee-36a4-4c7e-b783-896568c61ed0,Information Technology,169.84,752238148.91,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MPC,639306f2-59d8-46e0-95e7-0fe917d34f13,Energy,424.89,744278242.695,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
DHR,42f6d400-741b-4a18-ae61-73faae71e2cb,Health Care,211.81,738497274.4200001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AZO,dae5e891-472a-42a9-8638-cc67023813f4,Consumer Discretionary,2855.31,737577060.355,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MCHP,edc751a9-e628-40bd-9498-23ad7918269e,Information Technology,73.27,727624925.9549999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
RDDT,6f35d70d-d7cb-48ce-8d2e-be0c7775228e,Communication,150.85,721007571.15,1.0,626,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CEG,7658b394-4296-4b6c-b3e5-02243499faf6,Utilities,254.71,719834504.6,1.0,1161,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
UNP,e28f2c45-0bb1-45c1-84e0-f8d1a98c4088,Industrials,279.37,710121662.25,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CDNS,ee289c17-ee75-4d48-a9ee-505156d93171,Information Technology,282.9,698896276.425,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
HON,4d463097-3a48-4120-a2ec-d9a4b68302a9,Industrials,206.46,698759556.06,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
DE,c00df298-9fb1-49e6-b9d9-92e3749ec5be,Industrials,683.99,695357816.315,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
BLK,467bc92e-332b-4f62-95c7-3c9288c20018,Financials,1069.78,689038000.06,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
