session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover,missing_held_return
2022-07-20,-0.0022621019566993693,0.0,3.674277135067539e-05,-0.0022988447280500447,0.9016019019330795,0.007527799066645132,0.0,False
2022-07-21,0.0025617599626163636,0.0,3.722555884459316e-05,0.0025245344037717705,0.9110997619067668,0.005277830021666595,0.0,False
2022-07-22,0.0001279444832980618,0.0,3.728766896495464e-05,9.065681433310715e-05,0.9151531266549227,0.007819848507693024,0.0,False
2022-07-25,0.0014247324059789856,0.0,0.00011085005540834223,0.0013138823505706434,0.9070641886245988,0.007947072534711809,0.0,False
2022-07-26,0.000680669985257081,0.0,3.6945005166566095e-05,0.0006437249800905149,0.9083546333685562,0.009359507648781023,0.0,False
2022-07-27,0.0006475298057447408,0.0,3.64910532895876e-05,0.0006110387524551531,0.8979826820586466,0.01003371867868145,0.0,False
2022-07-28,0.0019883317314178836,0.0,3.727206902048091e-05,0.0019510596623974028,0.9176284053116514,0.010674725813282458,0.0,False
2022-07-29,0.002029789398151268,0.0,3.779087914241179e-05,0.0019919985190088563,0.9322164584057004,0.012638399273680186,0.0,False
2022-08-01,-0.0008193000652062082,0.0,0.00011417966671750708,-0.0009334797319237153,0.9407629911255686,0.014639027750233279,0.0,False
2022-08-02,-0.001296974798164394,0.0,3.807562594607868e-05,-0.0013350504241104726,0.9403395381955164,0.013832640174268713,0.0,False
2022-08-03,-0.00328604847878566,0.0,3.797449558388718e-05,-0.0033240229743695475,0.9365984827023355,0.012552423494414166,0.0,False
2022-08-04,-0.0011721729900126608,0.0,3.8688589484006685e-05,-0.0012108615794966674,0.9507196234967357,0.009297279385906394,0.0,False
2022-08-05,0.0025809757013579545,0.0,3.871041654341631e-05,0.002542265284814538,0.9500884259255458,0.00813495670241555,0.0,False
2022-08-08,-0.00040158620990576204,0.0,0.00011590688367503324,-0.0005174930935807953,0.9508223707743075,0.010688758743482192,0.0,False
2022-08-09,0.0008594695304369666,0.0,3.8778744117890814e-05,0.0008206907863190757,0.9539086056993135,0.010292498830636976,0.0,False
2022-08-10,-0.0008608827183858218,0.0,3.841187575624428e-05,-0.0008992945941420661,0.9458318002837316,0.011142823548454148,0.0,False
2022-08-11,0.0007265332880629896,0.0,3.940469873495059e-05,0.000687128589328039,0.9691388648638117,0.01029119564668063,0.0,False
2022-08-12,0.0005396044632908926,0.0,3.947360852202941e-05,0.0005001308547688632,0.9715346375726535,0.011010163536604441,0.0,False
2022-08-15,-0.0007409503084095585,0.0,0.00012038995692527001,-0.0008613402653348285,0.9880403117748082,0.011543994492062587,0.0,False
2022-08-16,-0.00026901740732395,0.0,4.0299576525961447e-05,-0.00030931698384991144,0.991435386100756,0.010812357302360739,0.0,False
2022-08-17,0.002373193412463109,0.0,4.043343168982826e-05,0.0023327599807732805,0.9944267732573544,0.010546602138200023,0.0,False
2022-08-18,0.002215300998265119,0.0,3.9878111733496966e-05,0.0021754228865316218,0.9832571124266536,0.012889726911560746,0.0,False
2022-08-19,0.0016290794857495175,0.0,3.993856069905144e-05,0.001589140925050466,0.9869105497588357,0.015072239415250648,0.0,False
2022-08-22,0.0011818066811241713,0.0,0.00011774057157508585,0.0010640661095490853,0.9716816785929565,0.016674820261704432,0.0,False
2022-08-23,0.0010355215291770407,0.0,3.8377985854295065e-05,0.0009971435433227455,0.9517019689622187,0.017837646507705626,0.0,False
2022-08-24,-0.0008044361102962343,0.0,3.8288303221098895e-05,-0.0008427244135173332,0.9505364125727804,0.01885436752604064,0.0,False
2022-08-25,0.0007490465657737701,0.0,3.855246380233927e-05,0.0007104941019714309,0.9561751078867917,0.01806515536320298,0.0,False
2022-08-26,-0.0005496875512251127,0.0,3.9147856340703185e-05,-0.000588835407565816,0.9713986816639517,0.018800844040174094,0.0,False
2022-08-29,0.00017967063520021038,0.0,0.00011366789755553247,6.60027376446779e-05,0.9402348565873374,0.018261909748018407,0.0,False
2022-08-30,-0.0020319608886786708,0.0,3.76550569915939e-05,-0.0020696159456702647,0.934713416730878,0.018440363268759693,0.0,False
2022-08-31,-0.001529511719736954,0.0,3.7378549435281675e-05,-0.0015668902691722355,0.9259871348245129,0.01644243189932547,0.0,False
2022-09-01,0.0014169011403477995,0.0,3.721771280659492e-05,0.0013796834275412045,0.920567335387088,0.014936323759945167,0.0,False
2022-09-02,0.0003287879852561559,0.0,3.706883947816071e-05,0.00029171914577799516,0.9183391210147278,0.016330693712817153,0.0,False
2022-09-06,-0.000805052098609344,0.0,0.00014710681442633132,-0.0009521589130356753,0.9115544109857949,0.016654623225612668,0.0,False
2022-09-07,-0.0020513829145415484,0.0,3.6765302680812785e-05,-0.0020881482172223614,0.9104870420535516,0.015864676820440342,0.0,False
2022-09-08,0.0010416400789777808,0.0,3.770407275702368e-05,0.0010039360062207572,0.9313079688888617,0.013842198467952087,0.0,False
2022-09-09,0.000674891256125516,0.0,3.7986337422414125e-05,0.0006369049187031019,0.9392031217237687,0.014868911111691557,0.0,False
2022-09-12,-0.0015240375989710709,0.0,0.00011548043836233132,-0.0016395180373334022,0.9522085754616182,0.015533908744930738,0.0,False
2022-09-13,-0.00022072663698521758,0.0,3.894116390768961e-05,-0.0002596678008929072,0.9616012000568337,0.014032878303053227,0.0,False
2022-09-14,-0.003598641572201111,0.0,3.744673582984378e-05,-0.0036360883080309545,0.925019644361541,0.013815739168675662,0.0,False
2022-09-15,0.0005068171158801663,0.0,3.778989090708719e-05,0.0004690272249730791,0.9298083955126626,0.010254383440207543,0.0,False
2022-09-16,0.0011755284151378875,0.0,3.738859078188851e-05,0.001138139824355999,0.9205451979855502,0.01075615562626293,0.0,False
2022-09-19,0.0006536464889118094,0.0,0.00011088610939642433,0.000542760379515385,0.9113276735481237,0.011918119554903954,0.0,False
2022-09-20,-0.0011499456093217294,0.0,3.7187493671191195e-05,-0.0011871331029929206,0.9174606256211186,0.012564946288799459,0.0,False
2022-09-21,0.001362475915611022,0.0,3.671785896592837e-05,0.0013257580566450936,0.9048964694150214,0.011428567910764397,0.0,False
2022-09-22,0.0004040210392396667,0.0,3.602046153468059e-05,0.0003680005777049861,0.8892720057930769,0.012774108449182451,0.0,False
2022-09-23,4.335045874258661e-06,0.0,3.545907786817644e-05,-3.112403199391778e-05,0.8760108431721014,0.013173281713141423,0.0,False
2022-09-26,-6.267924716949998e-06,0.0,0.0001043162702968306,-0.00011058419501378059,0.8592988859866395,0.013178026912346926,0.0,False
2022-09-27,-0.0007588974153673533,0.0,3.430890293899153e-05,-0.0007932063183063448,0.8480231872525488,0.013173215737087993,0.0,False
2022-09-28,0.0007895882021413836,0.0,3.4400357327083364e-05,0.0007551878448143003,0.8494995348801411,0.012424173254445808,0.0,False
2022-09-29,-0.0001359778450526933,0.0,3.522206199333877e-05,-0.0001711999070460321,0.8702739652860304,0.01320379011478702,0.0,False
2022-09-30,0.002664938772605074,0.0,3.457763531540637e-05,0.002630361137289668,0.8544591758692772,0.013070049861055625,0.0,False
2022-10-03,0.002214259882313881,0.0,0.00010177662034615519,0.002112483261967726,0.8412151846537255,0.015693708512688958,0.0,False
2022-10-04,-0.0012032140368416003,0.0,3.477736548698398e-05,-0.0012379914023285842,0.8641194447088318,0.01787021785888824,0.0,False
2022-10-05,-0.00013258468191709304,0.0,3.6160792317128586e-05,-0.00016874547423422162,0.8966002760555012,0.01668766300537225,0.0,False
2022-10-06,0.00033283679492267096,0.0,3.6127116934298705e-05,0.00029670967798837224,0.8956510511240858,0.016557872389483835,0.0,False
2022-10-07,-0.0010940518019879047,0.0,3.578602698456596e-05,-0.0011298378289724706,0.8876790223251885,0.016885699034083476,0.0,False
2022-10-10,0.002568128856919357,0.0,0.0001048501431884662,0.0024632787137308905,0.8662606708314481,0.015809509413888895,0.0,False
2022-10-11,8.731885052640573e-05,0.0,3.447213071330458e-05,5.284671981310115e-05,0.857154327619486,0.01833248026240797,0.0,False
2022-10-12,-0.0004707075561497551,0.0,3.429734237161462e-05,-0.0005050048985213697,0.852987490114367,0.0184188257384113,0.0,False
2022-10-13,0.0013637629343987879,0.0,3.418449253918411e-05,0.0013295784418596037,0.8497798384362967,0.017957186649483186,0.0,False
2022-10-14,-0.003512664708402144,0.0,3.484697462264373e-05,-0.003547511683024788,0.8672383441266506,0.019295294975653028,0.0,False
2022-10-17,0.0006079871547217955,0.0,0.00010270429880822257,0.000505282855913573,0.8488847978837476,0.015838818661497847,0.0,False
2022-10-18,8.072547702708789e-05,0.0,3.496058328416088e-05,4.576489374292701e-05,0.8671460263053803,0.016438499724132118,0.0,False
2022-10-19,-0.001860606546197953,0.0,3.550496090367162e-05,-0.0018961115071016246,0.8804725178911792,0.016518469235169843,0.0,False
2022-10-20,-0.0005669854792807843,0.0,3.534026852693233e-05,-0.0006023257478077167,0.8746322425850687,0.014685708429715423,0.0,False
2022-10-21,0.0012713351110599,0.0,3.513144691440321e-05,0.0012362036641454968,0.8689924403965796,0.014127232146101495,0.0,False
2022-10-24,0.0022554193204792745,0.0,0.00010794307956406347,0.002147476240915211,0.8909178670145499,0.015379554994923734,0.0,False
2022-10-25,0.0011378256222154726,0.0,3.622240978463981e-05,0.0011016032124308327,0.8990091562054181,0.017597184779182713,0.0,False
2022-10-26,-0.0028526453025562865,0.0,3.685677350241669e-05,-0.002889502076058703,0.9155625497897002,0.018714394564227535,0.0,False
2022-10-27,0.0002934096025368208,0.0,3.7142558800711125e-05,0.0002562670437361097,0.9197099787867751,0.015907714636137733,0.0,False
2022-10-28,-0.0005817786925353258,0.0,3.725437146070887e-05,-0.0006190330639960347,0.9227200123654105,0.016196973488161258,0.0,False
2022-10-31,-0.0009436279159821331,0.0,0.00011423802865961463,-0.0010578659446417477,0.9422222106774141,0.015624867104984489,0.0,False
2022-11-01,0.001319399018675289,0.0,3.800398121159216e-05,0.0012813950374636967,0.9394603292342598,0.014696786418850524,0.0,False
2022-11-02,1.8463428429774977e-05,0.0,3.7978721868667714e-05,-1.9515293438892737e-05,0.9401445874457275,0.015995688641479797,0.0,False
2022-11-03,0.002075584166358,0.0,3.701101539748484e-05,0.002038573150960515,0.9166158392690167,0.016014464596885436,0.0,False
2022-11-04,-0.0021321030595261225,0.0,3.672821910795417e-05,-0.0021688312786340767,0.9117732441944137,0.01805324590086227,0.0,False
2022-11-07,0.0013393596755861808,0.0,0.00011244897389594519,0.0012269107016902355,0.9280418697674793,0.015955748167034826,0.0,False
