symbol,target_weight,security_id,sector,order_authorized
FAST,-0.0011169269321393367,009c65c9-8abe-49b9-b481-dfeecb67d116,Industrials,False
MET,0.0017184826455917711,00e5cd6a-c370-4d72-86d2-fef5353aa17a,Financials,False
GE,-0.0006037901877606968,0116ac5c-90bc-47a2-8bb4-0f4551521dc6,Industrials,False
NRG,-0.006737288832984579,0181e333-c29a-4f7f-94f4-64884b17934a,Utilities,False
NOC,0.00018166661481622512,02deac19-d59b-4b15-ae55-a375e182bffd,Industrials,False
HPE,0.006817359670869598,03a4498a-78b3-4043-8dcb-2c3cf4dc352e,Information Technology,False
AMD,0.005147935522894257,03fb07bb-5db1-4077-8dea-5d711b272625,Information Technology,False
WDAY,-0.0013867804772601526,04f7d8b3-3c40-4e19-ab08-aff850458676,Information Technology,False
BAC,0.0025505221022670424,061588a3-d70b-4b9c-a3f6-636aaa16acc4,Financials,False
GS,0.0006119430810957941,064dd45f-7a58-452c-93f2-377f9a0cc7f2,Financials,False
CNP,0.0010639488821665868,0666dd39-e7df-4e09-90e6-bd1a2b42a3c1,Utilities,False
HLT,0.0025469610795267284,072e0811-8f84-4acc-bc3b-95761ea08dd6,Consumer Discretionary,False
PNC,0.002890826860665238,07c40f17-3f00-4792-9262-9fc21c73e9b4,Financials,False
SYY,-0.0011166212511716986,090b7913-4370-43eb-a42c-9af8400bc09d,Consumer Staples,False
FFIV,-0.0016624606183318464,09192535-21d6-42cf-903d-4abd88f91cad,Information Technology,False
ABBV,0.0028285198596710854,09a51104-980a-47b6-ad4d-e4f04059be4a,Health Care,False
SBUX,0.0026292983161195324,0a7deac5-2d75-4e54-9f66-51c1c6fad55b,Consumer Discretionary,False
ED,0.0023536517338206184,0cbb12ec-7e81-4329-beb1-2a35271272dc,Utilities,False
INTC,0.005869691533546625,0cf42aa3-9816-4f1f-aa84-6482ac9303e9,Information Technology,False
EME,-0.001291957913753649,0cf9d955-34f7-4d17-8286-29a0aecac17f,Industrials,False
