symbol,boundary_session,return
OXY,2020-03-09,-0.5202646815550042
AXON,2017-09-26,-0.7389690721649484
AXON,2018-01-08,-0.5698324022346368
AXON,2018-06-06,1.6
AXON,2021-01-26,143.79508196721312
ECHO,2021-09-10,0.5229885057471264
BNY,2026-05-21,12.625
PCG,2019-01-14,-0.5236552920763446
APA,2020-03-09,-0.5385624643468341
AVGO,2024-07-15,-0.8992020511837439
CVNA,2023-06-08,0.5602060528010304
MRNA,2026-08-19,1.7696950444726811
IR,2020-03-02,-0.775737105059461
HOOD,2021-08-04,0.5040598290598293
EQT,2018-11-13,-0.571536523929471
COHR,2022-09-08,-0.8375028172188416
SMCI,2020-01-14,0.7252396166134187
TRGP,2020-03-09,-0.5291461412151066
TRGP,2020-03-19,0.5548135781858654
META,2022-06-09,13.950819672131148
