experiment,cross_sectional_weight,train_qualified,status,reason,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_annual_turnover,train_annual_transaction_cost,train_annual_borrow_cost,train_maximum_abs_net,train_maximum_net_budget_ratio,train_maximum_factor_budget_ratio,train_maximum_sleeve_budget_ratio,train_average_gross,train_average_eligible_assets,train_worst_calendar_year_return
E050,0.5,True,COMPLETED,OK,2267,1.078492637485036,0.08472827658011117,0.09981316859154266,0.8648429649670105,-0.14246952974160476,0.5438906043228937,COMPLETED,0.9111998346206202,0.08976053037971732,7.751108331825758,0.0016045061992563667,0.003025741251295795,0.6000000000933023,1.000000000155504,1.0000000000896634,1.0,0.9937013348488455,18.922737306843267,-0.047873797134741936
E025,0.25,True,COMPLETED,OK,2267,0.858870215446095,0.07134601796790663,0.10103758493265556,0.7326933461154431,-0.14504551271169075,0.5425672695191883,COMPLETED,0.7773298858493234,0.07619058170151405,7.618104387020389,0.0015770133547492273,0.0029363490721269277,0.6000000001988156,1.0000000003313594,1.0000000001716896,1.0,0.9938738803879845,18.922737306843267,-0.04937689740752105
E075,0.75,False,COMPLETED,OK,2267,1.0076356441221912,0.08055403795977645,0.09878347071282922,0.8337586709928421,-0.15176451950553027,0.5399205999117777,COMPLETED,0.8837406127302717,0.08590631271979676,7.754045197262941,0.0016053519603721838,0.0033378043189115207,0.6000000000070186,1.0000000000116978,1.0000000000730023,1.0,0.9935353461107155,18.922737306843267,-0.06128795892901584
E100,1.0,False,COMPLETED,OK,2267,0.8053535477740101,0.06787272199506034,0.09691084136226215,0.7261237235857818,-0.15234304351572758,0.5319805910895457,COMPLETED,0.7832106832366987,0.0737973663537308,7.87267258829238,0.00163100509708684,0.003903396111860124,0.6000000000220903,1.0000000000368172,1.0000000000770333,1.0,0.9938989873401598,18.922737306843267,-0.060793952178518906
E000,0.0,False,COMPLETED,OK,2267,0.7898311334198873,0.06684817742589666,0.1015044094255609,0.6883389766289247,-0.14341637251255435,0.5416850463167181,COMPLETED,0.7325727564344777,0.07165134011914076,7.451070793838768,0.0015411839646648803,0.002952519300078715,0.6000000003279388,1.0000000005465646,1.0000000002369356,1.0,0.9939163845699667,18.922737306843267,-0.050079817082725686
