session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2011-09-22,-0.004802077865820132,0.0,8.599345032886226e-06,-0.004810677210853018,0.9891010699610387,0.36134888256034436,0.0
2011-09-23,-0.02449873727365494,3.380497937625828e-05,7.98275751105303e-06,-0.02454052501054225,0.9999999999989271,0.41725870169205603,0.16434529721877342
2011-09-26,-0.007250423366805018,0.0,2.445251280334481e-05,-0.007274875879608363,0.9976521304770717,0.4026409855956813,0.0
2011-09-27,0.006302090120755352,0.0,8.29726602379417e-06,0.0062937928547315575,1.0039884781551733,0.3982880584181989,0.0
2011-09-28,-0.008407579052442889,0.0,8.250723662514216e-06,-0.008415829776105404,1.0043624956351482,0.40205966827161066,0.0
2011-09-29,0.005402030694640908,0.0,8.23668779355905e-06,0.005393794006847349,0.9982713246330223,0.3969931157032117,0.0
2011-09-30,-2.1499049365424853e-06,5.3550965939329285e-06,8.21917808199161e-06,-1.5724179612467024e-05,0.999999999943752,0.39999999995836455,0.026598827821273575
2011-10-03,0.008549083028353903,0.0,2.4479458494366507e-05,0.008524603569859537,0.995670963153286,0.40000413979036786,0.0
2011-10-04,-0.006052270335774772,0.0,8.06601818879661e-06,-0.006060336353963569,0.9939192344900026,0.40509990670785023,0.0
2011-10-05,0.006656211277665556,0.0,8.13842049375126e-06,0.0066480728571718046,0.9955854407685891,0.40148074472474693,0.0
2011-10-06,0.004507987965998567,0.0,7.979200452972556e-06,0.004500008765545595,0.9879231840988247,0.4054415510318282,0.0
2011-10-07,-0.0016971064425294461,5.113782097326074e-05,5.4794520561760934e-06,-0.0017537237155588828,1.0000000000892038,0.599999999988349,0.25000000007539136
2011-10-10,-0.0003642122167718476,0.0,1.613744344486133e-05,-0.0003803496602167089,0.9920317853522471,0.5993539948606215,0.0
2011-10-11,-0.0018895805838674497,0.0,5.434930686615539e-06,-0.0018950155145540653,0.9959676350134313,0.599217694890497,0.0
2011-10-12,0.003859171881285164,0.0,5.4878515059448205e-06,0.003853684029779219,0.9990753694124374,0.5984622094784656,0.0
2011-10-13,-0.0025379555431168693,0.0,5.333753466798637e-06,-0.002543289296583668,0.9893731388119451,0.6000091357356446,0.0
2011-10-14,-0.009209245816732653,5.110637275324431e-05,5.479452055434819e-06,-0.009265831641541331,1.0000000000329061,0.5999999999861642,0.25000000002538353
2011-10-17,0.005930079465219929,0.0,1.7192170771319534e-05,0.005912887294448609,1.0146589410347069,0.5963161189325984,0.0
2011-10-18,0.0023250966420876934,0.0,5.625797370319341e-06,0.002319470844717374,1.0093893246411312,0.5987061166078192,0.0
2011-10-19,-0.001915845280243937,0.0,5.5254457266871e-06,-0.001921370725970624,1.0029979029543497,0.5996403649061913,0.0
2011-10-20,-0.002710807317153506,0.0,5.533301951121394e-06,-0.0027163406191046276,1.0028062232988375,0.5988751808669757,0.0
2011-10-21,-0.0024397724521221195,5.615952906736517e-06,5.695935485807758e-06,-0.002451084340514664,0.9999999999959289,0.5841967095319626,0.027828434138990138
2011-10-24,0.0018166442673153446,0.0,1.7308351964157337e-05,0.0017993359153511872,1.0043562738683316,0.5831863760738365,0.0
2011-10-25,0.010066834235892287,0.0,5.771490808201592e-06,0.010061062745084086,1.0052711230044116,0.5839522940056957,0.0
2011-10-26,-0.0006818406508691298,0.0,5.740937095604908e-06,-0.0006875815879647348,1.0071906031347642,0.5881021951556057,0.0
2011-10-27,-0.009321591515639145,0.0,5.701115214126111e-06,-0.009327292630853272,1.004005942460983,0.5878245318297768,0.0
2011-10-28,-0.002029353188048998,5.099168020969027e-05,5.906305873163694e-06,-0.002086251174131852,1.0000000000253062,0.5688396712843566,0.25000000002136025
2011-10-31,0.01380002978666021,0.0,1.819497758587946e-05,0.01378183480907433,1.0107397535453886,0.5679952989556553,0.0
2011-11-01,0.017255789923865682,0.0,5.9165025924246575e-06,0.017249873421273258,1.0057908142157759,0.5738861249687759,0.0
