session,gross_return,transaction_cost,borrow_cost,net_return,gross,net,turnover
2014-03-04,0.01127782368311282,0.0,1.1825637237439056e-05,0.011265998045875383,1.0155125142849677,0.15224099595191656,0.0
2014-03-05,0.0003052712768923813,0.0,1.1601616979672223e-05,0.00029366965991270904,1.0086151794881528,0.16169713997208038,0.0
2014-03-06,-0.0036204526749574186,0.0,1.1595437429226869e-05,-0.0036320481123866457,1.0084217823568067,0.1619548500232451,0.0
2014-03-07,0.0047784399962592745,5.241938854018175e-05,1.2328767123769158e-05,0.004713691840595324,1.0000000000489646,0.10000000001381598,0.25000000003609985
2014-03-10,0.0014797436757265424,0.0,3.631072407597797e-05,0.0014434329516505645,0.9878478163862302,0.10428686387076636,0.0
2014-03-11,-0.003428458072981259,0.0,1.2039521466734505e-05,-0.0034404975944479937,0.9844992276585596,0.10561416058694083,0.0
2014-03-12,-0.003736547623820907,0.0,1.2111574163056563e-05,-0.0037486591979839635,0.9866833998312626,0.10253848592813365,0.0
2014-03-13,-0.00402531613109948,0.0,1.2291915117828252e-05,-0.0040376080462173084,0.9964835103337154,0.09917370673225274,0.0
2014-03-14,-0.0053935483047958975,3.2916291881886155e-05,1.226846160456865e-05,-0.005438733058282352,0.9999999999953384,0.10440230286182689,0.16321116284960985
2014-03-17,0.008215649567162071,0.0,3.7314452094222e-05,0.00817833511506785,1.0075351823790784,0.09955018141967616,0.0
2014-03-18,0.0064037814140069154,0.0,1.2188378731962935e-05,0.006391593035274952,0.9966432828050644,0.10689163537177038,0.0
2014-03-19,0.0013955409461736635,0.0,1.203569217547753e-05,0.001383505253998186,0.9911814064004888,0.11257587759062905,0.0
2014-03-20,0.004831653022161869,0.0,1.1895746027889205e-05,0.004819757276133979,0.9822034163661535,0.11381395633024151,0.0
2014-03-21,-0.003661285432746368,5.137312830271556e-05,1.233192846097242e-05,-0.0037249904895100563,0.9999999999986615,0.09976922234767492,0.2499999999995231
2014-03-24,0.0018432549071625106,0.0,3.726092442504447e-05,0.0018059939827374662,1.0031497709455721,0.09646727660282313,0.0
2014-03-25,-0.0005782919619980476,0.0,1.2301719807865617e-05,-0.0005905936818059132,0.9961588493288113,0.09813330335462112,0.0
2014-03-26,-0.00025262641288294695,0.0,1.2366548715012536e-05,-0.0002649929615979595,1.0003707170092786,0.09761266081336359,0.0
2014-03-27,-0.0023489384774473487,0.0,1.2307150262063606e-05,-0.0023612456277094123,0.9958078100935385,0.09738584096289517,0.0
2014-03-28,-0.000365531898904645,5.161390391247355e-05,1.2320222856198778e-05,-0.00042946602567331735,1.0000000000453022,0.1006237315427915,0.2500000000435514
2014-03-31,0.0019685508514269735,0.0,3.7104795503577e-05,0.0019314460559233966,1.0031846328878105,0.10030127563410339,0.0
2014-04-01,0.0022732811780656094,0.0,1.2358863685403867e-05,0.0022609223143802057,1.0042697276474877,0.10207267861300567,0.0
2014-04-02,-0.000904234258638424,0.0,1.2369027338744868e-05,-0.0009166032859771689,1.0070495695998176,0.10411057387144229,0.0
2014-04-03,-0.00020381266134340286,0.0,1.2421485780140699e-05,-0.00021623414712354356,1.0100694876226513,0.10330102567238002,0.0
2014-04-04,-0.004377784938391385,5.2182123453014e-05,1.1069075690007237e-05,-0.0044410361375344055,0.9999999999889043,0.19195747461837603,0.2500000000105405
2014-04-07,-0.002510164620284463,0.0,3.3374573375227854e-05,-0.002543539193659691,1.0005310727581425,0.18841645396093137,0.0
2014-04-08,0.0013672426530500221,0.0,1.1156665268042397e-05,0.0013560859877819796,1.000816919645813,0.18638035507871786,0.0
2014-04-09,0.005104031375629084,0.0,1.1185754733278977e-05,0.005092845620895805,1.0040534361690894,0.18749334063972395,0.0
2014-04-10,-0.007493391240372001,0.0,1.1123231123129876e-05,-0.0075045144714951315,1.0036173454219885,0.19162147343350755,0.0
2014-04-11,-0.004398764851439101,2.2609189852504635e-05,1.1185092883437709e-05,-0.0044325591341750434,0.9999999999901893,0.18348821949923655,0.11035491887702287
2014-04-14,0.004157914417957793,0.0,3.367216415083419e-05,0.004124242253806959,0.9992428079234428,0.17988681358647785,0.0
2014-04-15,0.004479715669637223,0.0,1.1184104721008722e-05,0.004468531564916214,0.9997284452220359,0.18328880058839936,0.0
2014-04-16,0.0009091207804144193,0.0,1.1025777123516793e-05,0.0008980950032909025,0.9918149293729086,0.18693319935618252,0.0
2014-04-17,0.0006105801595312557,0.0,1.1069342199765784e-05,0.00059951081733149,0.9957357518432814,0.18767377126037937,0.0
2014-04-21,0.0015230780861701068,3.325075793944679e-06,4.400431106249176e-05,0.0014757486993136704,1.0000000000176439,0.19692132312716956,0.016480347429750963
2014-04-22,0.004996588287753677,0.0,1.0932413499928127e-05,0.0049856558742537496,0.9962181641832768,0.1981519786885236,0.0
2014-04-23,0.0006227583655421609,0.0,1.0869523136413273e-05,0.0006118888424057477,0.9956159516534883,0.2021407626953192,0.0
2014-04-24,0.0006054242882628532,0.0,1.0830810697704461e-05,0.0005945934775651487,0.9932887091269544,0.20263952819452885,0.0
2014-04-25,-0.002320222052751261,0.0,1.0856161701256806e-05,-0.0023310782144525177,0.9956239803642506,0.2031241761725037,0.0
2014-04-28,0.0013233469023798835,5.1001757941573526e-05,3.2943551412346996e-05,0.001239401593025963,1.0000000000442648,0.19837358234382133,0.25000000003695566
2014-04-29,0.004455967994497125,0.0,1.0941258740303918e-05,0.004445026735756821,0.9981616189741416,0.19944973093195556,0.0
2014-04-30,0.002784178752498538,0.0,1.0882329374224257e-05,0.0027732964231243135,0.997413387954911,0.2030033436365403,0.0
2014-05-01,0.00022430840266975693,0.0,1.0782967920640388e-05,0.00021352543474911653,0.99237504916618,0.20521839095943156,0.0
2014-05-02,-0.004118606407308553,0.0,1.0763377896584698e-05,-0.004129369785205138,0.9911254279358592,0.20539884148517626,0.0
2014-05-05,0.0014967912548673897,2.9636470353714333e-05,3.300397227595028e-05,0.0014341508122377251,0.9999999999856761,0.1969033412708861,0.14473284965671374
2014-05-06,-0.002204050163929724,0.0,1.099756869166359e-05,-0.0022150477326213875,1.0009385187887152,0.19811600429727325,0.0
2014-05-07,0.0012620777624941697,0.0,1.0995327483272322e-05,0.0012510824350108975,0.9990057781054699,0.1963468718265902,0.0
2014-05-08,-0.0009436391641905754,0.0,1.0951412716740162e-05,-0.0009545905769073156,0.9968151617377716,0.19736203341573993,0.0
2014-05-09,-0.0018448976383705973,0.0,1.0957652336025455e-05,-0.0018558552907066228,0.9965146930856321,0.19660607255577384,0.0
2014-05-12,0.000761122184191257,2.102432172030411e-05,3.6986301370704516e-05,0.0007031115611002485,1.0000000000181535,0.09999999999767692,0.10264115918843064
2014-05-13,0.00021324702284334393,0.0,1.2393039199937577e-05,0.00020085398364340636,1.0053821872452562,0.10069032564981287,0.0
2014-05-14,-0.0038765804948007517,0.0,1.2408385705131444e-05,-0.003888988880505883,1.0066954663325836,0.10088330985798818,0.0
2014-05-15,-0.0005465743502609788,0.0,1.2529890727793222e-05,-0.0005591042409887721,1.0120674834644603,0.09738546033555526,0.0
2014-05-16,0.0013298844972134654,0.0,1.2494009491627627e-05,0.0013173904877218378,1.0089557521944914,0.0968930593056744,0.0
2014-05-19,0.0008263787284249658,5.050748209962637e-05,3.5228163401343605e-05,0.0007406430829239958,1.0000000000118703,0.1427813572458426,0.2500000000071275
2014-05-20,-0.0019328958159442993,0.0,1.1728029564995985e-05,-0.0019446238455092953,0.999647610860705,0.14350145261599812,0.0
2014-05-21,0.0011807102281212807,0.0,1.1763978959259278e-05,0.0011689462491620214,1.000614854810653,0.1418443907847255,0.0
2014-05-22,-0.0011407418571293185,0.0,1.1745888938670848e-05,-0.0011524877460679893,1.0003080000868194,0.14285810756384756,0.0
2014-05-23,0.0002920786421656197,0.0,1.1792559213021987e-05,0.00028028608295259773,1.0027377042348657,0.14188088168426083,0.0
2014-05-27,0.004155013693103442,5.0861606929988004e-05,4.3835616437436486e-05,0.004060316469736017,1.000000000001994,0.20000000001877796,0.25000000000233463
2014-05-28,0.0012772902314193448,0.0,1.0792312020042713e-05,0.001266497919399302,0.991168209333992,0.20332943187087404,0.0
2014-05-29,0.0018590651218032266,0.0,1.0760138035425257e-05,0.0018483049837678014,0.9898379924780262,0.20434791589198265,0.0
2014-05-30,0.001440243542338089,0.0,1.0737360214912449e-05,0.0014295061821231767,0.989653846462807,0.2058265507741981,0.0
2014-06-02,-0.0016432023782903774,0.0,3.1961044041994784e-05,-0.0016751634223323721,0.9846896664505104,0.20697092809530418,0.0
2014-06-03,-0.0017815095245801256,6.168065533475544e-06,1.0672275478555254e-05,-0.0017983498655921564,1.0000000000166525,0.2209238900821189,0.030558021616222526
2014-06-04,0.00019339014821039612,0.0,1.0712323605645505e-05,0.00018267782460475062,1.0015368084372027,0.2195371852250809,0.0
2014-06-05,-0.00012991055502203236,0.0,1.0699918339483566e-05,-0.00014061047336151592,1.0007844815834142,0.21969044280111388,0.0
