symbol,security_id,sector,theoretical_weight,approved_weight,order_authorized
FAST,009c65c9-8abe-49b9-b481-dfeecb67d116,Industrials,-0.0011169269321393,0.0,False
MET,00e5cd6a-c370-4d72-86d2-fef5353aa17a,Financials,0.0017184826455917,0.0,False
GE,0116ac5c-90bc-47a2-8bb4-0f4551521dc6,Industrials,-0.0006037901877606,0.0,False
NRG,0181e333-c29a-4f7f-94f4-64884b17934a,Utilities,-0.0067372888329845,0.0,False
NOC,02deac19-d59b-4b15-ae55-a375e182bffd,Industrials,0.0001816666148162,0.0,False
HPE,03a4498a-78b3-4043-8dcb-2c3cf4dc352e,Information Technology,0.0068173596708695,0.0,False
AMD,03fb07bb-5db1-4077-8dea-5d711b272625,Information Technology,0.0051479355228942,0.0,False
WDAY,04f7d8b3-3c40-4e19-ab08-aff850458676,Information Technology,-0.0013867804772601,0.0,False
BAC,061588a3-d70b-4b9c-a3f6-636aaa16acc4,Financials,0.002550522102267,0.0,False
GS,064dd45f-7a58-452c-93f2-377f9a0cc7f2,Financials,0.0006119430810957,0.0,False
CNP,0666dd39-e7df-4e09-90e6-bd1a2b42a3c1,Utilities,0.0010639488821665,0.0,False
HLT,072e0811-8f84-4acc-bc3b-95761ea08dd6,Consumer Discretionary,0.0025469610795267,0.0,False
PNC,07c40f17-3f00-4792-9262-9fc21c73e9b4,Financials,0.0028908268606652,0.0,False
SYY,090b7913-4370-43eb-a42c-9af8400bc09d,Consumer Staples,-0.0011166212511716,0.0,False
FFIV,09192535-21d6-42cf-903d-4abd88f91cad,Information Technology,-0.0016624606183318,0.0,False
ABBV,09a51104-980a-47b6-ad4d-e4f04059be4a,Health Care,0.002828519859671,0.0,False
SBUX,0a7deac5-2d75-4e54-9f66-51c1c6fad55b,Consumer Discretionary,0.0026292983161195,0.0,False
ED,0cbb12ec-7e81-4329-beb1-2a35271272dc,Utilities,0.0023536517338206,0.0,False
INTC,0cf42aa3-9816-4f1f-aa84-6482ac9303e9,Information Technology,0.0058696915335466,0.0,False
EME,0cf9d955-34f7-4d17-8286-29a0aecac17f,Industrials,-0.0012919579137536,0.0,False
MRK,0d56791f-7395-40fa-853b-7b852bd9a7bf,Health Care,0.0049923849738431,0.0,False
XOM,0dd35bf7-a49c-4068-bce0-8e40b700454d,Energy,0.0016225246046614,0.0,False
NOW,0ec9e18b-6dc2-43f7-a956-8d07bac7c08b,Information Technology,-0.0036403040565752,0.0,False
MSCI,0ef68826-b0f7-45b8-b273-8251f7133f0a,Financials,0.0003493854973507,0.0,False
ANET,0f1e6e45-a44d-4e3e-a53a-ffbdf25eb283,Information Technology,-0.0030385654749913,0.0,False
EW,0ffbf7a5-d5ed-4e83-8499-2d58645e4d9c,Health Care,-0.0012058813643157,0.0,False
EBAY,10b35642-7d26-47d1-8987-4f7a7632d273,Consumer Discretionary,0.0025649004329083,0.0,False
SPGI,10f7d07f-0811-42bf-a780-b4d4cb53eb91,Financials,-0.0036457370281335,0.0,False
TJX,1168e42c-a598-4ed9-8371-2033a0f6af54,Consumer Discretionary,0.0044302238330847,0.0,False
NI,11c19425-9801-44b2-aabb-b1871d1aaef9,Utilities,-0.0011686513960367,0.0,False
HAL,14a06c29-cc38-444d-ab21-90198dc0fa18,Energy,-0.0006731335178242,0.0,False
WM,15110ac1-3d55-4832-bb54-f59ed4abeed1,Industrials,0.0008550353066492,0.0,False
XEL,152daa56-fc67-4627-b283-89405b4360fb,Utilities,0.0012051762181337,0.0,False
MLM,154033d6-32bc-43e0-8344-9a07e54e7c32,Materials,-0.005454317191401,0.0,False
CI,16af176c-d616-41d8-8a5a-b40c326e050e,Health Care,-0.0019197965405853,0.0,False
KKR,17f819cf-891b-478e-9ea3-cb23166c1479,Financials,-0.0056548403567875,0.0,False
CVX,186997ab-b63c-439b-bf62-72275d1c4c27,Energy,-0.0015329199093927,0.0,False
CFG,199cb7ce-8ed9-4d04-8270-a1ad319d5a6b,Financials,0.0035760208799535,0.0,False
RF,19abae8d-4f7b-402f-8d36-6418b3c79544,Financials,0.0015085669406399,0.0,False
MS,1c2f8701-b8cb-40b6-902a-1e9a6a0c7bcf,Financials,0.0021199751387374,0.0,False
CTSH,1c7f101c-4c08-46e9-9f79-60ca13c07e51,Information Technology,-0.0019673314721958,0.0,False
SYK,1c8746ac-5a25-4456-95e1-970ae6ade43c,Health Care,-0.0037848225358147,0.0,False
AIG,1ca76fea-6487-4cde-a341-07517b3286a0,Financials,-0.0005208117124471,0.0,False
F,1e80b378-a5e3-4727-96bf-9c64fdd4e7e2,Consumer Discretionary,0.003007472337358,0.0,False
MU,1ef18995-5094-4f62-a5c5-e00168611152,Information Technology,0.0054319813733041,0.0,False
OMC,1f80b3e7-c5a9-41c1-90e8-454620f6c568,Communication,0.0035373321958893,0.0,False
SCHW,1f868250-6f1d-4a57-9cd0-ac3f581a96e5,Financials,0.0006339578698898,0.0,False
COST,1f888138-e413-4939-b16b-bdd08bb4debd,Consumer Staples,-0.0014790173664164,0.0,False
EFX,1fa4e2fb-538e-4ed6-b548-f2c591f1fb5d,Industrials,-0.0038599543705346,0.0,False
MDT,1fc2849e-26d5-4f49-add6-2f913ded54c9,Health Care,-0.0025932085954646,0.0,False
AMGN,201b268b-cde8-4010-9fe3-41d2ac7f1e9c,Health Care,0.0033046577015489,0.0,False
MA,2140998d-7f62-46f2-a9b2-e44350bd4807,Financials,-0.0014149193836513,0.0,False
EXC,21a5e17d-c566-4f1b-8c25-0a505ba37478,Utilities,0.0009649089964203,0.0,False
FOXA,21b45a5d-50c2-46be-bbae-02f5f23f7453,Communication,0.0037258283376839,0.0,False
IBM,21d40833-6d13-4031-9af3-02f6a516d791,Information Technology,-0.0020316293742118,0.0,False
ROP,23e965be-de5f-44cd-8e2c-b4fbbea0ec9c,Information Technology,-0.0026269278664487,0.0,False
GD,2430989b-3b12-4bff-9927-870040f8122a,Industrials,0.0025305508385793,0.0,False
CB,2453845c-4785-46de-b332-6ee2438da196,Financials,0.0051264986849926,0.0,False
PTC,24a89c84-6175-465b-ac54-789c3fd8a47b,Information Technology,-0.0033095688615545,0.0,False
PYPL,24cbba8c-831b-44e2-8503-dd0c2ed7af8f,Financials,-0.0040466137101234,0.0,False
AFL,25335910-dc9d-45fe-bc65-dc6b0ff5e2f4,Financials,0.0033535893347571,0.0,False
BSX,2652a688-e44c-469e-92f8-8ece2594d4c0,Health Care,-0.0060025167588852,0.0,False
ORCL,27982558-2464-4daf-bb2f-b3b728659884,Information Technology,-0.0058362261359177,0.0,False
WSM,2820b0fc-1249-44d4-b749-18378cec217c,Consumer Discretionary,0.0010487495998397,0.0,False
PCAR,29e34616-a842-4a30-908c-32eddd0c7e23,Industrials,0.0011816099532564,0.0,False
ADBE,2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4,Information Technology,-0.0028784905950527,0.0,False
CIEN,2ada15fb-1cf1-4241-a97b-0837322da8d6,Information Technology,0.0065244371668908,0.0,False
GPN,2ae65e45-78f1-448b-b33d-08220c03f317,Financials,-0.0009501383444451,0.0,False
FTNT,2b7d41ee-36a4-4c7e-b783-896568c61ed0,Information Technology,0.0064853789696534,0.0,False
DAL,2cba3bdd-3f2a-4212-b64c-7bff33ad0f39,Industrials,0.0008914097359881,0.0,False
T,2d6ed211-6d9b-46d9-b9d5-d3f8b453fd9a,Communication,0.0016831101234183,0.0,False
IRM,2da35038-7511-48aa-81cf-3f6c377f7c09,Real Estate,-0.0003170202685423,0.0,False
ULTA,2e3d3b75-58cc-40f5-bf12-b73da8aac3d3,Consumer Discretionary,0.000953790212471,0.0,False
TDG,2e65dd16-9fd7-42c7-aa0f-bd7950f028be,Industrials,-0.0027893618344644,0.0,False
PPL,2ebe177b-c523-4c1f-9276-8f0759a67a52,Utilities,-0.0009747779985607,0.0,False
DG,2edb3ef9-b5d8-4667-be8f-334884498ac9,Consumer Staples,-0.0007758678902006,0.0,False
DIS,2f34c0b3-a4aa-4959-b52c-3c41b2c246c4,Communication,-0.0028424467732414,0.0,False
XYL,2f9e8a74-914c-4b63-90f0-577fd772da6f,Industrials,-0.0043494265083493,0.0,False
LULU,31aa3cfa-8925-4cbc-98bc-74f411b7f17c,Consumer Discretionary,-0.0056925121036003,0.0,False
SNDK,325cea3c-527c-4075-8130-e5bbbe58a8a3,Information Technology,0.0049478164583484,0.0,False
PLD,32d00bae-5f6a-4712-9c18-3a007524fa3f,Real Estate,0.0011851994586524,0.0,False
CPRT,3302e560-6d33-4ad5-a429-4d573e26962c,Industrials,-0.0045390827883512,0.0,False
VRTX,357a8404-f368-40a1-9356-3eb500f4f08a,Health Care,0.0011741625953766,0.0,False
LITE,363b9094-c5ae-4899-bbc0-f94b27c87a6e,Information Technology,0.0065554994957923,0.0,False
C,36c8d04d-be51-476c-9382-0b6ea3bf1a26,Financials,0.0014694210725944,0.0,False
KO,3795cafe-fd54-4f66-a31e-66774be875ca,Consumer Staples,0.0035855596399832,0.0,False
STT,38d1f1ae-38a3-49fc-bcb7-909d0011ef26,Financials,0.004237656587587,0.0,False
IDXX,3988b92e-b5ee-449e-a83a-a04bbdf18cff,Health Care,-0.0055178173786179,0.0,False
ITW,399a368e-f430-4a40-bd27-a046ea7bc0d9,Industrials,-0.0005190276374795,0.0,False
QCOM,39be1334-06b6-4df2-a2f1-b21b942628d0,Information Technology,-0.0043569605401381,0.0,False
LRCX,3ae976ac-6d14-4c4f-b02d-e83813f8a829,Information Technology,0.0047902314650071,0.0,False
BA,3bed4fb2-4093-4433-b887-770ae3defd3a,Industrials,-0.0042996559509727,0.0,False
CAH,3c1286a9-21d1-45cf-b569-502c86ff121d,Health Care,0.0045858627219839,0.0,False
NUE,3c3a99ab-4500-4f14-8f23-50a01d3019b1,Materials,0.0042454093150431,0.0,False
ZBRA,3c6eaa3f-d12a-4e72-aab5-b0e005ba631a,Information Technology,-0.0034781897889145,0.0,False
DOV,3d61eb0a-68d9-4a74-9f71-57551a892a5f,Industrials,-0.0014319458645705,0.0,False
EXPE,3e3bbdb0-d6a4-4db1-8fbb-133f75fd4f66,Consumer Discretionary,0.0053411357998889,0.0,False
WMT,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,Consumer Staples,0.0008127507325943,0.0,False
WEC,3fc48ca4-397a-48d0-aae0-908c807f7159,Utilities,0.0003453295751012,0.0,False
ROK,4039d327-5ab5-4040-8920-b23ab2e669b2,Industrials,-0.0004941056348284,0.0,False
BDX,419e89a6-efe2-4773-ba4f-1bf5dca33cb2,Health Care,6.940005652053168e-05,0.0,False
ADM,41e7c72d-bf5f-4ff9-9813-387ef5038cf3,Consumer Staples,0.0044787085763678,0.0,False
DHR,42f6d400-741b-4a18-ae61-73faae71e2cb,Health Care,-0.003845686619982,0.0,False
DUK,42f7b895-93aa-48d4-909e-6e05ad6bd2ca,Utilities,0.0009576462476388,0.0,False
WAT,4373b822-84c5-4a0b-87f8-428c6e982a1b,Health Care,0.0013903380293954,0.0,False
TXN,440efabf-b53c-4d70-b6e5-abb4f53e7104,Information Technology,-0.0011682445215023,0.0,False
APO,4493d0ec-797a-4e84-a849-06aa60fb726f,Financials,-0.0034684195245148,0.0,False
GRMN,44ddf865-1d4c-443a-b0a4-d8304a703836,Consumer Discretionary,0.0037629693135273,0.0,False
PH,44de3ac7-fd5e-4c49-99ae-561246d323f5,Industrials,0.002055715944342,0.0,False
TTWO,46502bdb-1f73-48cd-a9e7-e194d1d6938d,Communication,0.0002766422112598,0.0,False
BLK,467bc92e-332b-4f62-95c7-3c9288c20018,Financials,-0.0036315522852951,0.0,False
NSC,477b4ce8-cdd7-48b8-9c40-e64e37bbeadd,Industrials,0.0019503631838686,0.0,False
GWW,486a7ad1-ef92-4e1f-a113-3c4a04e29034,Industrials,0.0027968853024672,0.0,False
AXP,49b90cdc-f6f5-4a7c-807a-ed172e6017af,Financials,-0.0012415822522714,0.0,False
APH,4b36cdb2-64e4-4f6c-9dd6-8c1326cf5829,Information Technology,-0.0012899426890633,0.0,False
ROL,4cbd2a17-105f-470d-b690-1e58aa0ce908,Industrials,-0.0045184806107077,0.0,False
STLD,4cbeae28-abb2-4b2c-9fc2-acd8cae641d9,Materials,0.0044554061121356,0.0,False
EL,4cdbdf28-5c76-463f-bce0-23bcb2d3bb49,Consumer Staples,-0.0051088756159016,0.0,False
NVDA,4ce9353c-66d1-46c2-898f-fce867ab0247,Information Technology,-0.0039447795863799,0.0,False
HON,4d463097-3a48-4120-a2ec-d9a4b68302a9,Industrials,-0.0013731625472532,0.0,False
FDS,4d61ebe4-a03e-4ba2-a0cd-1c59dee8d7ce,Financials,-0.0026101587345078,0.0,False
MO,4eb91cfa-4f8b-4df5-acb7-2f3434fa283f,Consumer Staples,0.0020635700584754,0.0,False
URI,4f34a08c-9bdd-484a-8601-f9c583fee6a0,Industrials,0.0003368726619697,0.0,False
