horizon,segment,mean_ic,mean_rank_ic
1,train,0.009549523027557742,0.011170489526433274
1,validation,0.010700061159664749,0.01553183312508462
5,train,0.007942789032772605,0.0065332855071607715
5,validation,0.012442532447374217,0.015835990277628924
10,train,0.004739053604678468,0.0013599023787653692
10,validation,0.01991337044382022,0.01976821773310087
21,train,-0.00142214151040146,-0.0093701728848097
21,validation,0.03251625575533933,0.029223536942714946
42,train,-0.004547371031202833,-0.018898232103110892
42,validation,0.045991162876250206,0.03702298111353788
