experiment,status,eligible,train_sharpe,validation_sharpe,validation_cagr,reason,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_daily_net,train_average_abs_daily_beta,train_maximum_rebalance_net,train_maximum_rebalance_beta,train_maximum_rebalance_sector,train_worst_calendar_year_return,validation_sessions,validation_total_return,validation_annual_volatility,validation_max_drawdown,validation_positive_day_rate,validation_status,validation_gross_sharpe,validation_gross_cagr,validation_total_transaction_cost,validation_total_borrow_cost,validation_annual_turnover,validation_average_gross,validation_average_abs_daily_net,validation_average_abs_daily_beta,validation_maximum_rebalance_net,validation_maximum_rebalance_beta,validation_maximum_rebalance_sector,validation_worst_calendar_year_return,robust_sharpe,worst_development_year
E00,REFERENCE_ONLY,False,-0.3020310132031166,0.1115262514074557,0.003701917433969193,UNMODIFIED_V2_BASELINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13,COMPLETED,False,0.09792467049439346,-0.01240786100372041,-0.0004049077018776215,OK,1259.0,0.009849119342879353,0.001963668997937651,0.02264730289060493,-0.05833090915387007,0.4392374900714853,COMPLETED,0.5244516376489625,0.011694282195698236,0.01946707773289138,0.028820422451212083,11.087665386060147,0.3846045436486962,0.001127311590955542,0.003173545318943531,1.0373646386341306e-15,1.2490009027033011e-15,2.736526283353413e-16,-0.0120890029743691,502.0,-0.0008064398467703127,0.01864779925988453,-0.024432968634518826,0.5179282868525896,COMPLETED,0.6009238658752513,0.01111162963710055,0.00876088381893177,0.01406050938375171,12.526412455517406,0.4674267690144272,0.0010915173365495788,0.003500773211348131,1.2038980923279041e-15,1.3270634591222574e-15,2.8297676701871666e-16,-0.005469244209633239,-0.01240786100372041,-0.0120890029743691
E08,COMPLETED,False,-0.1645170131275243,0.5071954134426611,0.012801976874829313,OK,1259.0,-0.029210441423830114,-0.005916251167842335,0.0327912346289485,-0.06831032974907714,0.4598888006354249,COMPLETED,0.10776004605887499,0.0029979597175782136,0.01053311913233536,0.03406509174650396,6.002784352453869,0.454416185347682,0.0015594019825661744,0.0033131531512964104,2.411265631607762e-15,2.5604518505417673e-15,5.440526501532261e-16,-0.016654769641493816,502.0,0.025664289986277344,0.025732920780098926,-0.025453872689078616,0.5557768924302788,COMPLETED,0.9117926262850442,0.023421180482031012,0.004491591235694085,0.016288992688936722,6.426036963801317,0.543474148685375,0.0013562099877579908,0.0032600208763414844,9.124645483638005e-16,9.71445146547012e-16,2.5717275531356165e-16,0.0013334385487957512,-0.1645170131275243,-0.016654769641493816
E11,COMPLETED,False,-0.1819567499590527,0.5472372369184586,0.017586350367023496,OK,1259.0,-0.041360299275699064,-0.008419065133298709,0.04167590789644471,-0.08567643544630132,0.46386020651310567,COMPLETED,0.09192170152349273,0.0029631813661323836,0.012733488140650092,0.04428432011172065,7.254821143516669,0.5906206245825883,0.0020243189302444732,0.004248257348408851,2.6402491304367004e-15,2.768618667658984e-15,5.60966204044e-16,-0.022175294077431018,502.0,0.03533871992733295,0.03284250691944013,-0.03248407641749074,0.5557768924302788,COMPLETED,0.9519699325354863,0.031228139339732452,0.005509698155988403,0.021022845544069232,7.880761602739582,0.7011851694672916,0.001752671803257904,0.004188669048573272,2.1996293675385914e-15,2.2083029849184754e-15,5.724587470723463e-16,0.0021750035191656636,-0.1819567499590527,-0.022175294077431018
E07,COMPLETED,False,-0.1923812478475144,0.4905898514093181,0.01572594837951491,OK,1259.0,-0.04369260954839527,-0.008902409727174043,0.041902660049395184,-0.08674546578273878,0.4598888006354249,COMPLETED,0.08043045431047363,0.002491919651788077,0.012809089741945386,0.044296283639061546,7.297822335024458,0.5907817856818619,0.0020333168419437394,0.004289060021598689,3.101685575046531e-15,3.3063829452117943e-15,7.036472099430924e-16,-0.021376184664635645,502.0,0.03157144664700651,0.032908926595430606,-0.03260332231044427,0.5557768924302788,COMPLETED,0.8949213742570189,0.02935453766916285,0.005531227370266897,0.0210237930823398,7.911460353968584,0.7012007592409156,0.0017503240852950006,0.0041867840379940235,1.1726730697603216e-15,1.2073675392798577e-15,3.2526065174565133e-16,0.0008388112958994665,-0.1923812478475144,-0.021376184664635645
E12,COMPLETED,False,-0.207791613824886,0.5274976048915986,0.0174726808722927,OK,1259.0,-0.048203275135091816,-0.009839874851980568,0.04310294253014617,-0.08616285613960695,0.46068308181096107,COMPLETED,0.05639983806509348,0.0014999916274709424,0.012724818410598065,0.044162414013088014,7.24820506300121,0.5889287485364318,0.0020974589665868474,0.0044085397059469445,2.733924198139448e-15,3.0184188481996443e-15,5.971785566050158e-16,-0.022230669593982677,502.0,0.035108345523337414,0.03392832345820116,-0.03255596167358299,0.5517928286852589,COMPLETED,0.9201293543026019,0.031141562403430356,0.005562672277410634,0.021025190418342395,7.955039467901619,0.7012558313999415,0.001807294936857295,0.0043743937421827075,1.6792123247455493e-15,1.7416623698807143e-15,4.2587461335230614e-16,0.0010466380189619873,-0.207791613824886,-0.022230669593982677
E09,COMPLETED,False,-0.21875588242280725,0.46172596386796927,0.015241424191341446,OK,1259.0,-0.051132654707699565,-0.010450601537667303,0.04365290501551564,-0.08786803458828685,0.45750595710881653,COMPLETED,0.04275964966885155,0.0009110501949165517,0.012818763152517006,0.04421174159803757,7.301613070900427,0.589607370660294,0.002109618630212304,0.004463429295612558,2.9178048865929895e-15,3.1363800445660672e-15,6.223320470066795e-16,-0.021734134754458734,502.0,0.030591418317762242,0.0340125710263823,-0.032815210387889815,0.5517928286852589,COMPLETED,0.8537548101754251,0.028890456818674082,0.00558116807597294,0.02102599257326599,7.981367988381255,0.701262454812737,0.0018067243443925943,0.00437377880379619,1.0477729794899915e-15,1.115427195053087e-15,2.888314587501384e-16,-0.0006242232516053825,-0.21875588242280725,-0.021734134754458734
E06,COMPLETED,False,-0.3172064522754978,0.4552541216733567,0.0188064073826677,OK,1259.0,-0.08699326745079294,-0.018051938632901443,0.05298736670369254,-0.1146199786733757,0.46465448768864176,COMPLETED,-0.03207738804053797,-0.003101643350688854,0.014354257632843474,0.06112959799589001,8.174686290530964,0.8144389832488349,0.0027228639446719295,0.005569972257081697,2.814697259989618e-15,3.2404634531246757e-15,5.789639601072594e-16,-0.03478388707693647,502.0,0.03781302186801416,0.04295186543719174,-0.04440822386592147,0.5577689243027888,COMPLETED,0.8586219055873952,0.0366223552139433,0.006127381638864406,0.028411836618370812,8.761580182680605,0.9450247627419363,0.002360574866657034,0.00546070939596708,3.4555691641457997e-15,3.70536934468646e-15,8.36136715420821e-16,-0.005904603577593592,-0.3172064522754978,-0.03478388707693647
E05,COMPLETED,False,-0.33015468949116134,0.37809879911781985,0.015585915244497928,OK,1259.0,-0.09169875910959124,-0.019066997764595084,0.053894297231318875,-0.12016424774500822,0.46465448768864176,COMPLETED,-0.04841848520995146,-0.0040562815803915075,0.014587098654127675,0.06127671088710499,8.307506403627618,0.8164006950494163,0.0027719084757427317,0.00570044585356304,3.2508717939805365e-15,3.427813588530171e-15,6.96491475604688e-16,-0.03574588324305428,502.0,0.03128815938110163,0.04339284915426917,-0.04492860077451777,0.5577689243027888,COMPLETED,0.7785634239897596,0.03339767522934012,0.00619613771033167,0.028443108557290507,8.860088856173569,0.9459592585435224,0.0023775718417012866,0.005510552451836157,2.5326962749261384e-15,2.5292268279741847e-15,6.565928356572215e-16,-0.008877067201981004,-0.33015468949116134,-0.03574588324305428
E01,COMPLETED,False,-0.3433311240376699,0.3159304269031362,0.012877337149209689,OK,1259.0,-0.09564096262872801,-0.019920644967579726,0.054297781418738415,-0.1251785590369089,0.4614773629864972,COMPLETED,-0.06259672962743029,-0.004863604638411179,0.014731558412941924,0.061429885516970845,8.389638897646238,0.8184393106977171,0.002793547914711282,0.005770187331959225,3.937822290467352e-15,4.191091917959966e-15,8.933825901280557e-16,-0.03721462215427396,502.0,0.025816324563610937,0.04349172526778753,-0.04508070480402582,0.5557768924302788,COMPLETED,0.7163514542338814,0.030679284023590103,0.006233135803473474,0.028478551363943498,8.912862857457862,0.9470320305057387,0.0023764043254561355,0.005515263233896489,1.700029006457271e-15,1.7746221159242737e-15,4.111294638065033e-16,-0.01127556097515181,-0.3433311240376699,-0.03721462215427396
