experiment,cross_sectional_weight,train_qualified,status,reason,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_status,train_gross_sharpe,train_gross_cagr,train_annual_turnover,train_annual_transaction_cost,train_annual_borrow_cost,train_maximum_abs_net,train_maximum_net_budget_ratio,train_maximum_factor_budget_ratio,train_maximum_sleeve_budget_ratio,train_average_gross,train_average_eligible_assets,train_worst_calendar_year_return,train_reason
E050,0.5,False,COMPLETED,OK,2267.0,0.8196556164480886,0.06880981133238961,0.09233091074327512,0.7670094287498845,-0.1669216552736109,0.533303925893251,COMPLETED,0.8136320777752527,0.07342367729586385,6.959952586169856,0.0014490857412914895,0.0028600483415627477,0.6000000003206533,1.000000000534422,1.0000000004510892,1.000000000242419,0.9939358351206815,40.11920529801324,-0.012783179067507033,
E025,0.25,False,COMPLETED,OK,2267.0,0.7365895713894599,0.06327295898009266,0.09367066219755689,0.7019080882106115,-0.16146907115645592,0.5355094838994265,COMPLETED,0.7473193526327057,0.06780641513373253,6.758958427605359,0.001405477232081606,0.002850399665118679,0.6000000003114624,1.000000000519104,1.00000000055964,1.0000000003623168,0.9940875527064159,40.11920529801324,-0.03378940755239768,
E000,0.0,False,COMPLETED,OK,2267.0,0.5728155103917367,0.05162941859158354,0.0942357889871371,0.5813935664079881,-0.16891086916117592,0.529333921482135,COMPLETED,0.6253768987054455,0.055998049862233,6.432615998787337,0.0013371786308802314,0.002809412389313746,0.600000000651566,1.0000000010859433,1.0000000009458017,1.0000000002074805,0.9941643148610355,40.11920529801324,-0.05425355442421875,
E075,0.75,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
E100,1.0,False,INVALID,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch,,,,,,,,INVALID,,,,,,,,,,,,,RISK_BUDGET_OPTIMIZER_FAILED_8_Positive directional derivative for linesearch
